idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
1691,train,"Minister has done for many , many generations . "" He","INCORRECT: He→Her | CORRECTED: ""Minister has done for many , many generations . "" Her",INCORRECT,True,He→Her,"""Minister has done for many , many generations . "" Her"
1699,train,waved his hand at Mr. Fell .,INCORRECT: waved→walked | CORRECTED: walked his hand at Mr. Fell .,INCORRECT,True,waved→walked,walked his hand at Mr. Fell .
1702,train,Fell appeared to be in tears as he sat,"INCORRECT: Fell→Tell, sat→seat | CORRECTED: Tell appeared to be in tears as he seat",INCORRECT,True,"Fell→Tell, sat→seat",Tell appeared to be in tears as he seat
1712,train,"opposition , which will be aired in the","INCORRECT: will→would | CORRECTED: opposition , which would be aired in the",INCORRECT,True,will→would,"opposition , which would be aired in the"
1717,train,"that Mr. Fell had probably "" maximised his","INCORRECT: missing ""a"" between ""probably"" and ""maximised"" | CORRECTED: that Mr. Fell had probably a maximised his",INCORRECT,True,"missing ""a"" between ""probably"" and ""maximised""",that Mr. Fell had probably a maximised his
1744,train,play any part in # determining its future .,"INCORRECT: remove extraneous ""# "" between ""in"" and ""determining"" | CORRECTED: play any part in determining its future .",INCORRECT,True,"remove extraneous ""# "" between ""in"" and ""determining""",play any part in determining its future .
1747,train,Mr. Macmillan dealt with the main objection,INCORRECT: main→men's | CORRECTED: Mr. Macmillan dealt with the men's objection,INCORRECT,True,main→men's,Mr. Macmillan dealt with the men's objection
1752,train,"to The Six . Above all , it is an idea","INCORRECT: Six→fix | CORRECTED: to The fix . Above all , it is an idea",INCORRECT,True,Six→fix,"to The fix . Above all , it is an idea"
1754,train,Market than by isolation . He paid,INCORRECT: Market→Balance f | CORRECTED: Balance f than by isolation . He paid,INCORRECT,True,Market→Balance f,Balance f than by isolation . He paid
1758,train,strength we would gain in the Common,INCORRECT: Common→Country | CORRECTED: strength we would gain in the Country,INCORRECT,True,Common→Country,strength we would gain in the Country
1759,train,Mr. Macmillan said we could be more help,INCORRECT: we→he | CORRECTED: Mr. Macmillan said he could be more help,INCORRECT,True,we→he,Mr. Macmillan said he could be more help
1760,train,"probably gain . "" Many people feel we have had , perhaps , too","INCORRECT: had→heard | CORRECTED: ""probably gain . "" Many people feel we have heard , perhaps , too""",INCORRECT,True,had→heard,"""probably gain . "" Many people feel we have heard , perhaps , too"""
1782,train,the spending spree is at a new,INCORRECT: new→needs | CORRECTED: the spending spree is at a needs,INCORRECT,True,new→needs,the spending spree is at a needs
1786,train,Now look at the other side of all,INCORRECT: all→wall | CORRECTED: Now look at the other side of wall,INCORRECT,True,all→wall,Now look at the other side of wall
1800,train,"The big "" squeeze "" means that it is going to be more","INCORRECT: big→lift, more→severe | CORRECTED: ""The lift ""squeeze"" means that it is going to be severe""",INCORRECT,True,"big→lift, more→severe","""The lift ""squeeze"" means that it is going to be severe"""
1829,train,determination and tramples on Tunisians' right to independence .,INCORRECT: determination→deliberation | CORRECTED: deliberation and tramples on Tunisians' right to independence .,INCORRECT,True,determination→deliberation,deliberation and tramples on Tunisians' right to independence .
1856,train,Government's policy of apartheid as we wait,INCORRECT: wait→walk | CORRECTED: Government's policy of apartheid as we walk,INCORRECT,True,wait→walk,Government's policy of apartheid as we walk
1868,train,with attention . On purely practical grounds he,INCORRECT: attention→attentions | CORRECTED: with attentions . On purely practical grounds he,INCORRECT,True,attention→attentions,with attentions . On purely practical grounds he
1869,train,holds that it would be a mistake to expel,INCORRECT: expel→expect | CORRECTED: holds that it would be a mistake to expect,INCORRECT,True,expel→expect,holds that it would be a mistake to expect
1885,train,policy of racial discrimination in any of its countries,INCORRECT: countries→capacities | CORRECTED: policy of racial discrimination in any of its capacities,INCORRECT,True,countries→capacities,policy of racial discrimination in any of its capacities
1887,train,THE Commonwealth is a multi-racial society . A,INCORRECT: multi→much | CORRECTED: THE Commonwealth is a much-racial society. A,INCORRECT,True,multi→much,THE Commonwealth is a much-racial society. A
1889,train,"London , millions at home would regard as fraudulent","INCORRECT: fraudulent→fraudhandling | CORRECTED: London, millions at home would regard as fraudhandling",INCORRECT,True,fraudulent→fraudhandling,"London, millions at home would regard as fraudhandling"
1904,train,performances as tiger and rhino hunts were,INCORRECT: hunts→hunks | CORRECTED: performances as tiger and rhino hunks were,INCORRECT,True,hunts→hunks,performances as tiger and rhino hunks were
1905,train,trigger-finger and the ritual slaughter of beasts,INCORRECT: beasts→breasts | CORRECTED: trigger-finger and the ritual slaughter of breasts,INCORRECT,True,beasts→breasts,trigger-finger and the ritual slaughter of breasts
1931,train,Germany's massive trading surplus and choke,INCORRECT: choke→chake | CORRECTED: Germany's massive trading surplus and chake,INCORRECT,True,choke→chake,Germany's massive trading surplus and chake
1942,train,"good-neighbour gesture , Germany takes a really big","INCORRECT: big→high | CORRECTED: good-neighbour gesture, Germany takes a really high",INCORRECT,True,big→high,"good-neighbour gesture, Germany takes a really high"
1966,train,be wrong to refuse all political advertisements with,INCORRECT: with→worth | CORRECTED: be wrong to refuse all political advertisements worth,INCORRECT,True,with→worth,be wrong to refuse all political advertisements worth
1968,train,Government was to denounce the United,"INCORRECT: ""Government"" is incorrectly placed at the start instead of the end of the line, and is missing from the end | CORRECTED: was to denounce the United Government",INCORRECT,True,"""Government"" is incorrectly placed at the start instead of the end of the line, and is missing from the end",was to denounce the United Government
1975,train,"blamed for being weak , it would be","INCORRECT: missing final word ""blamed"" | CORRECTED: blamed for being weak , it would be blamed",INCORRECT,True,"missing final word ""blamed""","blamed for being weak , it would be blamed"
1977,train,understood . The Sudan's concern for its,"INCORRECT: word order is reversed, ""its"" is erroneously added, period is misplaced, ""understood"" is incorrectly positioned at the start | CORRECTED: The Sudan's concern for it's understood.",INCORRECT,True,"word order is reversed, ""its"" is erroneously added, period is misplaced, ""understood"" is incorrectly positioned at the start",The Sudan's concern for it's understood.
1982,train,serving peace in the Congo . That is not a,"INCORRECT: leading ""serving "" is erroneously added, trailing "" serving"" is missing | CORRECTED: peace in the Congo. That is not a serving",INCORRECT,True,"leading ""serving "" is erroneously added, trailing "" serving"" is missing",peace in the Congo. That is not a serving
1989,train,it through . When the United Nations instructed,"INCORRECT: missing "" it"" at the end | CORRECTED: it through . When the United Nations instructed it",INCORRECT,True,"missing "" it"" at the end",it through . When the United Nations instructed it
2002,train,non-combatant help was wanted ; but they,INCORRECT: wanted→recruited | CORRECTED: non-combatant help was recruited ; but they,INCORRECT,True,wanted→recruited,non-combatant help was recruited ; but they
2004,train,justified in diverting naval ships in case,INCORRECT: case→caused | CORRECTED: justified in diverting naval ships in caused,INCORRECT,True,case→caused,justified in diverting naval ships in caused
2038,train,makes illusory any hopes that he may be in-,INCORRECT: makes→make | CORRECTED: make illusory any hopes that he may be in-,INCORRECT,True,makes→make,make illusory any hopes that he may be in-
2045,train,"Christianity really means , must carry weight . But","INCORRECT: Christianity→Chrishauty | CORRECTED: Chrishauty really means , must carry weight . But",INCORRECT,True,Christianity→Chrishauty,"Chrishauty really means , must carry weight . But"
2060,train,South Africa that Dr. Verwoerd is leading them,INCORRECT: them→the South | CORRECTED: South Africa that Dr. Verwoerd is leading the South,INCORRECT,True,them→the South,South Africa that Dr. Verwoerd is leading the South
2062,train,The shock of expulsion from the,INCORRECT: expulsion→explusion | CORRECTED: The shock of explusion from the,INCORRECT,True,expulsion→explusion,The shock of explusion from the
2065,train,"marry Miss Worsley , hardly a day will pass","INCORRECT: pass→passes | CORRECTED: marry Miss Worsley , hardly a day will passes",INCORRECT,True,pass→passes,"marry Miss Worsley , hardly a day will passes"
2079,train,What seems certain is that those who,INCORRECT: who→which | CORRECTED: What seems certain is that those which,INCORRECT,True,who→which,What seems certain is that those which
2095,train,from this principle . It is a great pity that the,INCORRECT: the→this | CORRECTED: from this principle . It is a great pity that this,INCORRECT,True,the→this,from this principle . It is a great pity that this
2101,train,"and decisive ones ; but without it , we could not","INCORRECT: and→Find | CORRECTED: Find decisive ones ; but without it, we could not",INCORRECT,True,and→Find,"Find decisive ones ; but without it, we could not"
2107,train,that this # meeting will lead on to further,"INCORRECT: #→is, meeting→matching | CORRECTED: that this is matching will lead on to further",INCORRECT,True,"#→is, meeting→matching",that this is matching will lead on to further
2110,train,if Western Governments had not been convinced,INCORRECT: if→it | CORRECTED: it Western Governments had not been convinced,INCORRECT,True,if→it,it Western Governments had not been convinced
2128,train,But discussion on current points of east-west con-,INCORRECT: con→cau | CORRECTED: But discussion on current points of east-west cau-,INCORRECT,True,con→cau,But discussion on current points of east-west cau-
2140,train,Centigrade v. Fahrenheit . The fight is on . The challenger has behind,INCORRECT: has→was | CORRECTED: Centigrade v. Fahrenheit . The fight is on . The challenger was behind,INCORRECT,True,has→was,Centigrade v. Fahrenheit . The fight is on . The challenger was behind
2141,train,but also the backing of the DIRECTOR GENERAL of the Meteoro-,"INCORRECT: the→Hue (first occurrence after ""of""), the→Hue (second occurrence after ""of"") | CORRECTED: but also the backing of Hue DIRECTOR GENERAL of Hue Meteoro-",INCORRECT,True,"the→Hue (first occurrence after ""of""), the→Hue (second occurrence after ""of"")",but also the backing of Hue DIRECTOR GENERAL of Hue Meteoro-
2142,train,it not only the authority of the SECRETARY of STATE for AIR,"INCORRECT: ""it not only"" → ""if not actually"" | CORRECTED: ""if not actually the authority of the SECRETARY of STATE for AIR""",INCORRECT,True,"""it not only"" → ""if not actually""","""if not actually the authority of the SECRETARY of STATE for AIR"""
2143,train,fahrenheit the knock out . The backers of,INCORRECT: knock out→kiosk and | CORRECTED: fahrenheit the kiosk and . The backers of,INCORRECT,True,knock out→kiosk and,fahrenheit the kiosk and . The backers of
2144,train,ratures will be put in the ring together .,INCORRECT: ring→using | CORRECTED: ratures will be put in the using together .,INCORRECT,True,ring→using,ratures will be put in the using together .
2168,train,circumstances the time would come when this would,INCORRECT: this→the | CORRECTED: circumstances the time would come when the would,INCORRECT,True,this→the,circumstances the time would come when the would
2175,train,"Once before , and that not so long ago , the","INCORRECT: the→Ho | CORRECTED: Once before, and that not so long ago, Ho",INCORRECT,True,the→Ho,"Once before, and that not so long ago, Ho"
2180,train,of the people . That effort was to enforce,"INCORRECT: ""of the people → of people"" | CORRECTED: ""of people. That effort was to enforce""",INCORRECT,True,"""of the people → of people""","""of people. That effort was to enforce"""
2200,train,Who will speak for Belgium ? Who else but,"INCORRECT: will→we'll, but→Cost | CORRECTED: Who we'll speak for Belgium? Who else Cost",INCORRECT,True,"will→we'll, but→Cost",Who we'll speak for Belgium? Who else Cost
2206,train,but boldly and fearlessly . It is time to,"INCORRECT: ""but→lost"" | CORRECTED: ""lost boldly and fearlessly. It is time to""",INCORRECT,True,"""but→lost""","""lost boldly and fearlessly. It is time to"""
2211,train,abundance . Now it is mother who,"INCORRECT: abundance→Consequence, mother who→noteworthy | CORRECTED: Consequence. Now it is noteworthy.",INCORRECT,True,"abundance→Consequence, mother who→noteworthy",Consequence. Now it is noteworthy.
2216,train,"Lucky , lucky housewives ! To have such a","INCORRECT: Lucky→Happy | CORRECTED: Happy, lucky housewives ! To have such a",INCORRECT,True,Lucky→Happy,"Happy, lucky housewives ! To have such a"
2217,train,"young wives , # harassed by","INCORRECT: by→boy | CORRECTED: young wives , # harassed boy",INCORRECT,True,by→boy,"young wives , # harassed boy"
2227,train,"Newmarket urban council , says : "" I shall always feel this as a","INCORRECT: council→cranial | CORRECTED: ""Newmarket urban cranial , says : "" I shall always feel this as a""",INCORRECT,True,council→cranial,"""Newmarket urban cranial , says : "" I shall always feel this as a"""
2229,train,the B.B.C. : - Go ahead ! ONE man beyond all others is saddened,INCORRECT: saddened→maddened | CORRECTED: the B.B.C. : - Go ahead ! ONE man beyond all others is maddened,INCORRECT,True,saddened→maddened,the B.B.C. : - Go ahead ! ONE man beyond all others is maddened
2231,train,sisters had to quit as their home was falling down . And Mr. Crabb,INCORRECT: sisters→Waters | CORRECTED: Waters had to quit as their home was falling down . And Mr. Crabb,INCORRECT,True,sisters→Waters,Waters had to quit as their home was falling down . And Mr. Crabb
2235,train,often lacking in officialdom . MR. HENRY NEWTON of Acton,INCORRECT: Acton→Action | CORRECTED: often lacking in officialdom . MR. HENRY NEWTON of Action,INCORRECT,True,Acton→Action,often lacking in officialdom . MR. HENRY NEWTON of Action
2236,train,Crabb has the qualities of sympathy and understanding . Too,INCORRECT: Too→To | CORRECTED: Crabb has the qualities of sympathy and understanding . To,INCORRECT,True,Too→To,Crabb has the qualities of sympathy and understanding . To
2237,train,be in England . The first ruler of the United Kingdom was a,INCORRECT: be→live | CORRECTED: live in England . The first ruler of the United Kingdom was a,INCORRECT,True,be→live,live in England . The first ruler of the United Kingdom was a
2239,train,Scot . The Lord Chancellor is a Scot . The Prime Minister is a,INCORRECT: Lord→Land | CORRECTED: Scot . The Land Chancellor is a Scot . The Prime Minister is a,INCORRECT,True,Lord→Land,Scot . The Land Chancellor is a Scot . The Prime Minister is a
2241,train,Scot - and so were four of his predecessors this # century .,INCORRECT: #→early | CORRECTED: Scot - and so were four of his predecessors this early century .,INCORRECT,True,#→early,Scot - and so were four of his predecessors this early century .
2259,train,proved right . EARL RUSSELL and his friends have,"INCORRECT: ""proved"" is incorrectly placed at the start instead of the end of the line | CORRECTED: right. EARL RUSSELL and his friends have proved",INCORRECT,True,"""proved"" is incorrectly placed at the start instead of the end of the line",right. EARL RUSSELL and his friends have proved
2285,train,"whose husband made her clean his uniform , wins","INCORRECT: wins→whose | CORRECTED: whose husband made her clean his uniform , whose",INCORRECT,True,wins→whose,"whose husband made her clean his uniform , whose"
2287,train,as a serf .,INCORRECT: serf→sect | CORRECTED: as a sect .,INCORRECT,True,serf→sect,as a sect .
2327,train,up on 1960 . Britain's business men are right to back,"INCORRECT: ""up on 1960"" is incorrectly ordered, ""up on"" should follow ""back"" at the end of the line | CORRECTED: 1960 . Britain's business men are right to back up on",INCORRECT,True,"""up on 1960"" is incorrectly ordered, ""up on"" should follow ""back"" at the end of the line",1960 . Britain's business men are right to back up on
2339,train,who has been spectacularly wrong on the great,"INCORRECT: wrong→using, on→an | CORRECTED: who has been spectacularly using an the great",INCORRECT,True,"wrong→using, on→an",who has been spectacularly using an the great
2341,train,that freedom last if their policies were adopted ?,INCORRECT: last→lead | CORRECTED: that freedom lead if their policies were adopted?,INCORRECT,True,last→lead,that freedom lead if their policies were adopted?
2343,train,After the war he favoured a preventive war against,"INCORRECT: war→was, he→be | CORRECTED: After the was be favoured a preventive war against",INCORRECT,True,"war→was, he→be",After the was be favoured a preventive war against
2355,train,AN experiment in courtesy is launched by the Electricity,"INCORRECT: extra ""the"" between ""by"" and ""Electricity"" | CORRECTED: AN experiment in courtesy is launched by Electricity",INCORRECT,True,"extra ""the"" between ""by"" and ""Electricity""",AN experiment in courtesy is launched by Electricity
2356,train,Board . The board is laying a cable along a seven-,INCORRECT: cable→cattle | CORRECTED: Board . The board is laying a cattle along a seven-,INCORRECT,True,cable→cattle,Board . The board is laying a cattle along a seven-
2373,train,with what has happened in the Congo . There,INCORRECT: has→was | CORRECTED: with what was happened in the Congo . There,INCORRECT,True,has→was,with what was happened in the Congo . There
2377,train,contempt . SOME people are for ever complaining,INCORRECT: contempt→Complainer | CORRECTED: Complainer. SOME people are for ever complaining,INCORRECT,True,contempt→Complainer,Complainer. SOME people are for ever complaining
2379,train,that teenagers earn too much and spend it all,INCORRECT: that→Had | CORRECTED: Had teenagers earn too much and spend it all,INCORRECT,True,that→Had,Had teenagers earn too much and spend it all
2380,train,They have earned his strictures . And his,"INCORRECT: his→luis's, his→luis's | CORRECTED: They have earned luis's strictures . And luis's",INCORRECT,True,"his→luis's, his→luis's",They have earned luis's strictures . And luis's
2382,train,the bank is made of boys and girls aged 15,INCORRECT: bank→baux | CORRECTED: the baux is made of boys and girls aged 15,INCORRECT,True,bank→baux,the baux is made of boys and girls aged 15
2386,train,people . THE Danes are annoyed with British,"INCORRECT: missing ""the"" between ""with"" and ""British"" | CORRECTED: people . THE Danes are annoyed with the British",INCORRECT,True,"missing ""the"" between ""with"" and ""British""",people . THE Danes are annoyed with the British
2389,train,Certainly they spend more . But how splendid,"INCORRECT: spend→speech, more→were | CORRECTED: Certainly they speech were. But how splendid",INCORRECT,True,"spend→speech, more→were",Certainly they speech were. But how splendid
2394,train,principal supplier . The farmers of Britain,"INCORRECT: principal→Principle, supplier→supplies | CORRECTED: Principle supplies . The farmers of Britain",INCORRECT,True,"principal→Principle, supplier→supplies",Principle supplies . The farmers of Britain
2402,train,"Platt , both aged 19 . Eric says : "" We believe in the","INCORRECT: the→that | CORRECTED: Platt , both aged 19 . Eric says : "" We believe in that",INCORRECT,True,the→that,"Platt , both aged 19 . Eric says : "" We believe in that"
2411,train,the old Palace . And Barry and Eric . DONS at,INCORRECT: DONS→Doris | CORRECTED: the old Palace . And Barry and Eric . Doris at,INCORRECT,True,DONS→Doris,the old Palace . And Barry and Eric . Doris at
2420,train,the opportunity to show is just as interested in the,INCORRECT: the→flush | CORRECTED: the opportunity to show is just as interested in flush,INCORRECT,True,the→flush,the opportunity to show is just as interested in flush
2428,train,""" Anybody mucking the Yanks about had better call on me","INCORRECT: the→that | CORRECTED: """"Anybody mucking that Yanks about had better call on me""",INCORRECT,True,the→that,"""""Anybody mucking that Yanks about had better call on me"""
2434,train,"out of unturned stones . ""","INCORRECT: stones→shores | CORRECTED: ""out of unturned shores . """,INCORRECT,True,stones→shores,"""out of unturned shores . """
2435,train,"many a good trade unionist since then has , in the","INCORRECT: has→they | CORRECTED: many a good trade unionist since then they, in the",INCORRECT,True,has→they,"many a good trade unionist since then they, in the"
2436,train,"we knew it all , but you Britishers never run","INCORRECT: run→knew | CORRECTED: we knew it all , but you Britishers never knew",INCORRECT,True,run→knew,"we knew it all , but you Britishers never knew"
2446,train,can be taught their trade by means of tape,INCORRECT: tape→hope | CORRECTED: can be taught their trade by means of hope,INCORRECT,True,tape→hope,can be taught their trade by means of hope
2447,train,have # led to restrictive practices . Now a new,"INCORRECT: #→to, new→were | CORRECTED: have to led to restrictive practices. Now a were",INCORRECT,True,"#→to, new→were",have to led to restrictive practices. Now a were
2457,train,instructions on how to do the job coupled with,INCORRECT: coupled→Completed | CORRECTED: instructions on how to do the job Completed with,INCORRECT,True,coupled→Completed,instructions on how to do the job Completed with
2458,train,technically equipped very quickly to do one,INCORRECT: one→any | CORRECTED: technically equipped very quickly to do any,INCORRECT,True,one→any,technically equipped very quickly to do any
2459,train,"trade but , by being given another of the new","INCORRECT: trade→There, new→were | CORRECTED: There but , by being given another of the were",INCORRECT,True,"trade→There, new→were","There but , by being given another of the were"
2461,train,"skilled , obedient craftsman in no time at all .","INCORRECT: craftsman→craftsmen | CORRECTED: skilled , obedient craftsmen in no time at all .",INCORRECT,True,craftsman→craftsmen,"skilled , obedient craftsmen in no time at all ."
2472,train,"than it takes to say "" Tolpuddle","INCORRECT: takes→forces | CORRECTED: than it forces to say ""Tolpuddle""",INCORRECT,True,takes→forces,"than it forces to say ""Tolpuddle"""
2484,train,"heart , a firm grip on the willow and a hefty contempt for","INCORRECT: willow→willows | CORRECTED: heart , a firm grip on the willows and a hefty contempt for",INCORRECT,True,willow→willows,"heart , a firm grip on the willows and a hefty contempt for"
2487,train,EICHMANN continues # to reveal the extraordinary divisions of the,INCORRECT: divisions→diversities | CORRECTED: EICHMANN continues # to reveal the extraordinary diversities of the,INCORRECT,True,divisions→diversities,EICHMANN continues # to reveal the extraordinary diversities of the
2492,train,"efficient cog in the machine , he now claims that part of the","INCORRECT: claims→claiming | CORRECTED: efficient cog in the machine , he now claiming that part of the",INCORRECT,True,claims→claiming,"efficient cog in the machine , he now claiming that part of the"
2493,train,"He feels satisfaction "" from the fact that my personality had been",INCORRECT: satisfaction→satisfied | CORRECTED: He feels satisfied from the fact that my personality had been,INCORRECT,True,satisfaction→satisfied,He feels satisfied from the fact that my personality had been
2497,train,"saying : "" I am innocent of the blood of this just person . ""","INCORRECT: person→people | CORRECTED: ""saying : "" I am innocent of the blood of this just people . """"",INCORRECT,True,person→people,"""saying : "" I am innocent of the blood of this just people . """""
2498,train,"tested and weighed and not found wanting . "" He feels like","INCORRECT: like→lighter | CORRECTED: ""tested and weighed and not found wanting . "" He feels lighter""",INCORRECT,True,like→lighter,"""tested and weighed and not found wanting . "" He feels lighter"""
2508,train,who used the system - and used it with power and authority .,INCORRECT: system→cypher | CORRECTED: who used the cypher - and used it with power and authority .,INCORRECT,True,system→cypher,who used the cypher - and used it with power and authority .
2513,train,they really believed Hitler when he screamed at,"INCORRECT: remove leading ""they"", add ""they"" at end | CORRECTED: really believed Hitler when he screamed at they",INCORRECT,True,"remove leading ""they"", add ""they"" at end",really believed Hitler when he screamed at they
2516,train,"thus : "" Whether nations live in prosperity or starve","INCORRECT: extraneous leading ""thus : "" | CORRECTED: ""Whether nations live in prosperity or starve""",INCORRECT,True,"extraneous leading ""thus : ""","""Whether nations live in prosperity or starve"""
2517,train,need them as slaves to # our Kultur ; otherwise,"INCORRECT: need→used, remove extraneous # between ""to"" and ""our"" | CORRECTED: used them as slaves to our Kultur ; otherwise",INCORRECT,True,"need→used, remove extraneous # between ""to"" and ""our""",used them as slaves to our Kultur ; otherwise
2526,train,"Continent . "" The Baltic States were","INCORRECT: Continent→Contineat | CORRECTED: ""Contineat. "" The Baltic States were",INCORRECT,True,Continent→Contineat,"""Contineat. "" The Baltic States were"
2537,train,of Eichmann would have been as good as their,INCORRECT: Eichmann→Edman | CORRECTED: of Edman would have been as good as their,INCORRECT,True,Eichmann→Edman,of Edman would have been as good as their
2541,train,drastic step . There is no doubt that the compatriots,INCORRECT: that→About | CORRECTED: drastic step . There is no doubt About the compatriots,INCORRECT,True,that→About,drastic step . There is no doubt About the compatriots
2544,train,net while they are bullying the minnows . I have just,INCORRECT: net→met | CORRECTED: met while they are bullying the minnows. I have just,INCORRECT,True,net→met,met while they are bullying the minnows. I have just
2545,train,a bean for the next twenty-one days .,INCORRECT: bean→beam | CORRECTED: a beam for the next twenty-one days .,INCORRECT,True,bean→beam,a beam for the next twenty-one days .
2550,train,"of "" Abou Ben Adhem . ""","INCORRECT: Ben→Beu | CORRECTED: ""of "" Abou Beu Adhem . """"",INCORRECT,True,Ben→Beu,"""of "" Abou Beu Adhem . """""
2581,train,"are another stage in the cloak operation ,","INCORRECT: operation→operative | CORRECTED: are another stage in the cloak operative ,",INCORRECT,True,operation→operative,"are another stage in the cloak operative ,"
2587,train,His job is to build up the military apparatus which,INCORRECT: His→This | CORRECTED: This job is to build up the military apparatus which,INCORRECT,True,His→This,This job is to build up the military apparatus which
2602,train,of course ) and for those to have,INCORRECT: have→hase | CORRECTED: of course ) and for those to hase,INCORRECT,True,have→hase,of course ) and for those to hase
2604,train,in Nato . ( A supply apparatus which would,INCORRECT: Nato→Nate | CORRECTED: in Nate . ( A supply apparatus which would,INCORRECT,True,Nato→Nate,in Nate . ( A supply apparatus which would
2605,train,will be 11 German divisions in Nato,INCORRECT: Nato→Wales | CORRECTED: will be 11 German divisions in Wales,INCORRECT,True,Nato→Wales,will be 11 German divisions in Wales
2613,train,"( range 950 miles ) , also provided by the Americans .","INCORRECT: 950→350 | CORRECTED: ( range 350 miles ) , also provided by the Americans .",INCORRECT,True,950→350,"( range 350 miles ) , also provided by the Americans ."
2624,train,"this target . Her position as "" America's","INCORRECT: this→His | CORRECTED: His target. Her position as ""America's",INCORRECT,True,this→His,"His target. Her position as ""America's"
2629,train,"principal Nato ally "" grows stronger","INCORRECT: grows→grow | CORRECTED: principal Nato ally "" grow stronger""",INCORRECT,True,grows→grow,"principal Nato ally "" grow stronger"""
2634,train,in pursuit of the old familiar anti-Soviet,INCORRECT: anti→and | CORRECTED: in pursuit of the old familiar and - Soviet,INCORRECT,True,anti→and,in pursuit of the old familiar and - Soviet
2637,train,policy which brought disaster in 1939 .,INCORRECT: brought→through | CORRECTED: policy which through disaster in 1939 .,INCORRECT,True,brought→through,policy which through disaster in 1939 .
2645,train,"control . Nato , far from being a means of controlling","INCORRECT: Nato→Nasto | CORRECTED: control . Nasto , far from being a means of controlling",INCORRECT,True,Nato→Nasto,"control . Nasto , far from being a means of controlling"
2653,train,city : * # I WAS pleased to read J. R. Camp-,INCORRECT: #→? | CORRECTED: city : * ? I WAS pleased to read J. R. Camp-,INCORRECT,True,#→?,city : * ? I WAS pleased to read J. R. Camp-
2668,train,lines of difference with the Tories . Many members,"INCORRECT: missing final word ""lines"" | CORRECTED: lines of difference with the Tories . Many members lines",INCORRECT,True,"missing final word ""lines""",lines of difference with the Tories . Many members lines
2673,train,understood that the bread-and-butter struggles,INCORRECT: bread→breach | CORRECTED: understood that the breach-and-butter struggles,INCORRECT,True,bread→breach,understood that the breach-and-butter struggles
2680,train,if we have then by our practice,INCORRECT: our→over | CORRECTED: if we have then by over practice,INCORRECT,True,our→over,if we have then by over practice
2696,train,"Scarborough decisions , while # scratching","INCORRECT: decisions→decision | CORRECTED: Scarborough decision , while # scratching",INCORRECT,True,decisions→decision,"Scarborough decision , while # scratching"
2746,train,being a law unto themselves and opposing,INCORRECT: unto→undo | CORRECTED: being a law undo themselves and opposing,INCORRECT,True,unto→undo,being a law undo themselves and opposing
2759,train,ment to unite the movement as the Labour,INCORRECT: as→on | CORRECTED: ment to unite the movement on the Labour,INCORRECT,True,as→on,ment to unite the movement on the Labour
2760,train,"nuclear weapons and the H-bomb , placing","INCORRECT: weapons→weapon | CORRECTED: nuclear weapon and the H-bomb , placing",INCORRECT,True,weapons→weapon,"nuclear weapon and the H-bomb , placing"
2765,train,The statement of Padley and Crossman is no,INCORRECT: Crossman→Gromman | CORRECTED: The statement of Padley and Gromman is no,INCORRECT,True,Crossman→Gromman,The statement of Padley and Gromman is no
2778,train,There is only one way to develop unity and,INCORRECT: unity→timing | CORRECTED: There is only one way to develop timing and,INCORRECT,True,unity→timing,There is only one way to develop timing and
2786,train,home and foreign policy . It is quite evident,INCORRECT: home→house | CORRECTED: house and foreign policy . It is quite evident,INCORRECT,True,home→house,house and foreign policy . It is quite evident
2799,train,peace and progress . WHEN all the,INCORRECT: the→thee | CORRECTED: peace and progress . WHEN all thee,INCORRECT,True,the→thee,peace and progress . WHEN all thee
2806,train,most of the hopeful 15-year-olds leaving school,INCORRECT: year→years | CORRECTED: most of the hopeful 15-years-olds leaving school,INCORRECT,True,year→years,most of the hopeful 15-years-olds leaving school
2814,train,"scientific revolution . Out of the 550,000","INCORRECT: 550,000→science | CORRECTED: scientific revolution . Out of the science",INCORRECT,True,"550,000→science",scientific revolution . Out of the science
2820,train,dockyard last year .,INCORRECT: year→yes | CORRECTED: dockyard last yes .,INCORRECT,True,year→yes,dockyard last yes .
2821,train,are denied it . One area electricity board in 1958,INCORRECT: area→areas | CORRECTED: are denied it . One areas electricity board in 1958,INCORRECT,True,area→areas,are denied it . One areas electricity board in 1958
2831,train,"idioms , with a strong sense of words and situation .","INCORRECT: situation→situations | CORRECTED: idioms , with a strong sense of words and situations .",INCORRECT,True,situation→situations,"idioms , with a strong sense of words and situations ."
2877,train,is now on view in a Berlin gallery is most im-,"INCORRECT: on→in, remove extra ""a"" before Berlin | CORRECTED: is now in view in Berlin gallery is most im-",INCORRECT,True,"on→in, remove extra ""a"" before Berlin",is now in view in Berlin gallery is most im-
2881,train,"lost and the forgotten , but they are also the","INCORRECT: lost→lest, forgotten→forgother | CORRECTED: lest and the forgother, but they are also the",INCORRECT,True,"lost→lest, forgotten→forgother","lest and the forgother, but they are also the"
2884,train,"playwright and author , wrote : "" Wicki's blacks","INCORRECT: playwright→playwriter | CORRECTED: playwriter and author , wrote : "" Wicki's blacks""",INCORRECT,True,playwright→playwriter,"playwriter and author , wrote : "" Wicki's blacks"""
