wrong,correct,count,type,wrong_repr,correct_repr
wint,Wak,1,replace_4:3,'wint','Wak'
,to,1,insert_0:n,'','to'
," an""",1,insert_0:n,'',"' an""'"
"me , ","""",1,merge_n:1,"'me , '","'""'"
e,ack,1,split_1:n,'e','ack'
i,oc,1,split_1:n,'i','oc'
st ,ly,1,replace_3:2,'st ','ly'
,ec,1,insert_0:n,'','ec'
ve,ck,1,replace_2:2,'ve','ck'
lth,y,1,merge_n:1,'lth','y'
e,olid,1,split_1:n,'e','olid'
;,is,1,split_1:n,';','is'
a,ir,1,split_1:n,'a','ir'
uv,w,1,merge_n:1,'uv','w'
wr,n,1,merge_n:1,'wr','n'
Ar,Gen,1,replace_2:3,'Ar','Gen'
st,"""Sh",1,replace_2:3,'st',"'""Sh'"
,gr,1,insert_0:n,'','gr'
tha,Wel,1,replace_3:3,'tha','Wel'
U,"""Ma",1,split_1:n,'U',"'""Ma'"
I,"so""",1,split_1:n,'I',"'so""'"
mb,l,1,merge_n:1,'mb','l'
,fter,1,insert_0:n,'','fter'
bu,Sal,1,replace_2:3,'bu','Sal'
ory,an,1,replace_3:2,'ory','an'
,mon,1,insert_0:n,'','mon'
but,will,1,replace_3:4,'but','will'
ma,proce,1,replace_2:5,'ma','proce'
m,Har,1,split_1:n,'m','Har'
no,s,1,merge_n:1,'no','s'
1,I ,1,split_1:n,'1','I '
I h,le,1,replace_3:2,'I h','le'
U,Wil,1,split_1:n,'U','Wil'
,"n,",1,insert_0:n,'',"'n,'"
,ou mistak,1,insert_0:n,'','ou mistak'
know,ma,1,replace_4:2,'know','ma'
it,ry,1,replace_2:2,'it','ry'
w,ca,1,split_1:n,'w','ca'
u,igh,1,split_1:n,'u','igh'
a,gh,1,split_1:n,'a','gh'
Ita,He,1,replace_3:2,'Ita','He'
o,hateve,1,split_1:n,'o','hateve'
fall of the ,,1,delete_n:0,'fall of the ',''
ev,ru,1,replace_2:2,'ev','ru'
but,when,1,replace_3:4,'but','when'
l ' ,d,1,merge_n:1,"""l ' """,'d'
u,te,1,split_1:n,'u','te'
# ,,1,delete_n:0,'# ',''
un,ea,1,replace_2:2,'un','ea'
v,ut,1,split_1:n,'v','ut'
etty,olong,1,replace_4:5,'etty','olong'
who ,and,1,replace_4:3,'who ','and'
t,ck,1,split_1:n,'t','ck'
,ships ,1,insert_0:n,'','ships '
2, It,1,split_1:n,'2',' It'
*,,1,delete_n:0,'*',''
om,ered,1,replace_2:4,'om','ered'
t straigh,,1,delete_n:0,'t straigh',''
 i,',1,merge_n:1,' i',"""'"""
chi,au,1,replace_3:2,'chi','au'
ma,nee,1,replace_2:3,'ma','nee'
se ,r,1,merge_n:1,'se ','r'
,fferi,1,insert_0:n,'','fferi'
h,er,1,split_1:n,'h','er'
in,I'm,1,replace_2:3,'in',"""I'm"""
e,as,1,split_1:n,'e','as'
me,nd,1,replace_2:2,'me','nd'
but,And,1,replace_3:3,'but','And'
," to murders, apart for an outcry against a",1,insert_0:n,'',"' to murders, apart for an outcry against a'"
,hlu,1,insert_0:n,'','hlu'
book,death,1,replace_4:5,'book','death'
La,An,1,replace_2:2,'La','An'
ro,b,1,merge_n:1,'ro','b'
a,tle,1,split_1:n,'a','tle'
t, cl,1,split_1:n,'t',' cl'
*?,e.,1,replace_2:2,'*?','e.'
it,If,1,replace_2:2,'it','If'
6, G,1,split_1:n,'6',' G'
her,on,1,replace_3:2,'her','on'
d,ex,1,split_1:n,'d','ex'
,ssing,1,insert_0:n,'','ssing'
 ;,ing,1,replace_2:3,' ;','ing'
nt,ech,1,replace_2:3,'nt','ech'
tho,Ha,1,replace_3:2,'tho','Ha'
1t,"""W",1,replace_2:2,'1t',"'""W'"
m,"qui""",1,split_1:n,'m',"'qui""'"
rd,tion,1,replace_2:4,'rd','tion'
ir,,1,delete_n:0,'ir',''
E,fo,1,split_1:n,'E','fo'
is,way,1,replace_2:3,'is','way'
at,of,1,replace_2:2,'at','of'
as ,on,1,replace_3:2,'as ','on'
le,,1,delete_n:0,'le',''
ri,n,1,merge_n:1,'ri','n'
o,ich,1,split_1:n,'o','ich'
,redu,1,insert_0:n,'','redu'
n,ak,1,split_1:n,'n','ak'
ting,hhy,1,replace_4:3,'ting','hhy'
*?, is,1,replace_2:3,'*?',' is'
A,ct,1,split_1:n,'A','ct'
M,ell,1,split_1:n,'M','ell'
on ,a,1,merge_n:1,'on ','a'
st,Sh,1,replace_2:2,'st','Sh'
, line,1,insert_0:n,'',' line'
to,be,1,replace_2:2,'to','be'
n ,med,1,replace_2:3,'n ','med'
-,r punished,1,split_1:n,'-','r punished'
' C,F,1,merge_n:1,"""' C""",'F'
wh,curl,1,replace_2:4,'wh','curl'
,pine,1,insert_0:n,'','pine'
ould,e,1,merge_n:1,'ould','e'
f,bo,1,split_1:n,'f','bo'
ide,,1,delete_n:0,'ide',''
,tea,1,insert_0:n,'','tea'
, the,1,insert_0:n,'',' the'
tch,bs,1,replace_3:2,'tch','bs'
n,he,1,split_1:n,'n','he'
, at all.,1,insert_0:n,'',' at all.'
, groping after wads of five,1,insert_0:n,'',' groping after wads of five'
h,Cu,1,split_1:n,'h','Cu'
ja,po,1,replace_2:2,'ja','po'
' I,O,1,merge_n:1,"""' I""",'O'
ob,at,1,replace_2:2,'ob','at'
na,,1,delete_n:0,'na',''
her,to,1,replace_3:2,'her','to'
k ,d,1,merge_n:1,'k ','d'
,in,1,insert_0:n,'','in'
wo,hree,1,replace_2:4,'wo','hree'
But,said,1,replace_3:4,'But','said'
tion,,1,delete_n:0,'tion',''
,he kitch,1,insert_0:n,'','he kitch'
ndr,m L,1,replace_3:3,'ndr','m L'
tort,nd,1,replace_4:2,'tort','nd'
r,att,1,split_1:n,'r','att'
h,lov,1,split_1:n,'h','lov'
sho,Ha,1,replace_3:2,'sho','Ha'
wher,induc,1,replace_4:5,'wher','induc'
m,w ,1,split_1:n,'m','w '
ou,ac,1,replace_2:2,'ou','ac'
ng,y,1,merge_n:1,'ng','y'
ary,g,1,merge_n:1,'ary','g'
ur-,les,1,replace_3:3,'ur-','les'
ti,ho,1,replace_2:2,'ti','ho'
,ac,1,insert_0:n,'','ac'
is,B,1,merge_n:1,'is','B'
La,to,1,replace_2:2,'La','to'
r,geta,1,split_1:n,'r','geta'
e, o,1,split_1:n,'e',' o'
,wh,1,insert_0:n,'','wh'
ur,es,1,replace_2:2,'ur','es'
t,fl,1,split_1:n,'t','fl'
ur,cen,1,replace_2:3,'ur','cen'
th,He,1,replace_2:2,'th','He'
wo .,ax,1,replace_4:2,'wo .','ax'
 O,w,1,merge_n:1,' O','w'
m,lik,1,split_1:n,'m','lik'
". "" S",t,1,merge_n:1,"'. "" S'",'t'
om,n,1,merge_n:1,'om','n'
 Only,,1,delete_n:0,' Only',''
. ,Andy,1,replace_2:4,'. ','Andy'
d,"""ch",1,split_1:n,'d',"'""ch'"
m,se,1,split_1:n,'m','se'
I 'm,Huh,1,replace_4:3,"""I 'm""",'Huh'
th,sex,1,replace_2:3,'th','sex'
th,fin,1,replace_2:3,'th','fin'
aw,st,1,replace_2:2,'aw','st'
"""v",,1,delete_n:0,"'""v'",''
THAT ,that,1,replace_5:4,'THAT ','that'
rell,,1,delete_n:0,'rell',''
' ' ,"""",1,merge_n:1,"""' ' ""","'""'"
fu,Le,1,replace_2:2,'fu','Le'
on,at,1,replace_2:2,'on','at'
,ed ,1,insert_0:n,'','ed '
" , I say might ,",,1,delete_n:0,"' , I say might ,'",''
the,is,1,replace_3:2,'the','is'
, cases,1,insert_0:n,'',' cases'
,ity,1,insert_0:n,'','ity'
ha,r,1,merge_n:1,'ha','r'
bu, Sce,1,replace_2:4,'bu',' Sce'
t,rl,1,split_1:n,'t','rl'
h,Sc,1,split_1:n,'h','Sc'
the,Horn,1,replace_3:4,'the','Horn'
,Co,1,insert_0:n,'','Co'
me,ll,1,replace_2:2,'me','ll'
tur,lea,1,replace_3:3,'tur','lea'
ruth,,1,delete_n:0,'ruth',''
,brough,1,insert_0:n,'','brough'
he,fo,1,replace_2:2,'he','fo'
man,high,1,replace_3:4,'man','high'
m,we,1,split_1:n,'m','we'
oon,ri,1,replace_3:2,'oon','ri'
n,ag,1,split_1:n,'n','ag'
un,om,1,replace_2:2,'un','om'
I ,f,1,merge_n:1,'I ','f'
Hu,the ,1,replace_2:4,'Hu','the '
u .,n,1,merge_n:1,'u .','n'
e,ity,1,split_1:n,'e','ity'
,ave,1,insert_0:n,'','ave'
m,uas,1,split_1:n,'m','uas'
ght ,ed,1,replace_4:2,'ght ','ed'
n,repl,1,split_1:n,'n','repl'
 ; he,"""",1,merge_n:1,' ; he',"'""'"
, conference in Bruce Benton's office been British,1,insert_0:n,'',""" conference in Bruce Benton's office been British"""
a ,g,1,merge_n:1,'a ','g'
,athe,1,insert_0:n,'','athe'
3,,1,delete_n:0,'3',''
the,Along,1,replace_3:5,'the','Along'
was,being,1,replace_3:5,'was','being'
""" tha",Abou,1,replace_5:4,"'"" tha'",'Abou'
w,unt,1,split_1:n,'w','unt'
th,blu,1,replace_2:3,'th','blu'
wh,st,1,replace_2:2,'wh','st'
M,Wh,1,split_1:n,'M','Wh'
wl,zt,1,replace_2:2,'wl','zt'
tw,"""Wh",1,replace_2:3,'tw',"'""Wh'"
ad,,1,delete_n:0,'ad',''
way,hour,1,replace_3:4,'way','hour'
d,all,1,split_1:n,'d','all'
r,us,1,split_1:n,'r','us'
Is,b,1,merge_n:1,'Is','b'
th,us,1,replace_2:2,'th','us'
an,cm,1,replace_2:2,'an','cm'
ck,ttended,1,replace_2:7,'ck','ttended'
,eing ,1,insert_0:n,'','eing '
no,me,1,replace_2:2,'no','me'
at ,"""",1,merge_n:1,'at ',"'""'"
er,im,1,replace_2:2,'er','im'
m,Meg,1,split_1:n,'m','Meg'
k, &,1,split_1:n,'k',' &'
a,"""ce",1,split_1:n,'a',"'""ce'"
tt, fl,1,replace_2:3,'tt',' fl'
pr,On,1,replace_2:2,'pr','On'
". "" """,from,1,replace_5:4,"'. "" ""'",'from'
n,ss,1,split_1:n,'n','ss'
,o be,1,insert_0:n,'','o be'
wha,,1,delete_n:0,'wha',''
s ,h,1,merge_n:1,'s ','h'
rwl ,,1,delete_n:0,'rwl ',''
,ughi,1,insert_0:n,'','ughi'
ot,ed,1,replace_2:2,'ot','ed'
,ru,1,insert_0:n,'','ru'
b,tl,1,split_1:n,'b','tl'
for,la,1,replace_3:2,'for','la'
,ig,1,insert_0:n,'','ig'
dwa,cke,1,replace_3:3,'dwa','cke'
e,or,1,split_1:n,'e','or'
al,"""",1,merge_n:1,'al',"'""'"
m,nner,1,split_1:n,'m','nner'
b,ko,1,split_1:n,'b','ko'
n,pr,1,split_1:n,'n','pr'
su,ce,1,replace_2:2,'su','ce'
 little,,1,delete_n:0,' little',''
ttl,,1,delete_n:0,'ttl',''
,Lil,1,insert_0:n,'','Lil'
ll, M,1,replace_2:2,'ll',' M'
Al,F,1,merge_n:1,'Al','F'
ai ,ec,1,replace_3:2,'ai ','ec'
c,"""C",1,split_1:n,'c',"'""C'"
sound,remark,1,replace_5:6,'sound','remark'
If,H,1,merge_n:1,'If','H'
t 's,"f""""",1,replace_4:3,"""t 's""","'f""""'"
 Y,y,1,merge_n:1,' Y','y'
, things,1,insert_0:n,'',' things'
opl,tt,1,replace_3:2,'opl','tt'
D,st,1,split_1:n,'D','st'
was,I'm,1,replace_3:3,'was',"""I'm"""
,ssa,1,insert_0:n,'','ssa'
v,nk,1,split_1:n,'v','nk'
h,kill,1,split_1:n,'h','kill'
n,d.,1,split_1:n,'n','d.'
wh,smil,1,replace_2:4,'wh','smil'
b,sh,1,split_1:n,'b','sh'
 ,tle,1,split_1:n,' ','tle'
us,o,1,merge_n:1,'us','o'
w ,rse,1,replace_2:3,'w ','rse'
, image,1,insert_0:n,'',' image'
en,us,1,replace_2:2,'en','us'
ici,lu,1,replace_3:2,'ici','lu'
hi,ru,1,replace_2:2,'hi','ru'
. O,si,1,replace_3:2,'. O','si'
,em'd,1,insert_0:n,'',"""em'd"""
quit,S,1,merge_n:1,'quit','S'
st,rd,1,replace_2:2,'st','rd'
ew,aint,1,replace_2:4,'ew','aint'
w,as,1,split_1:n,'w','as'
H,Fl,1,split_1:n,'H','Fl'
, in life,1,insert_0:n,'',' in life'
m,hu,1,split_1:n,'m','hu'
4w,cas,1,replace_2:3,'4w','cas'
k ,le,1,replace_2:2,'k ','le'
ce, a,1,replace_2:2,'ce',' a'
os,,1,delete_n:0,'os',''
,mi,1,insert_0:n,'','mi'
,fold,1,insert_0:n,'','fold'
ket,s,1,merge_n:1,'ket','s'
s,der,1,split_1:n,'s','der'
,"ed""",1,insert_0:n,'',"'ed""'"
o,ivi,1,split_1:n,'o','ivi'
A,thi,1,split_1:n,'A','thi'
gh,ql,1,replace_2:2,'gh','ql'
av,ou,1,replace_2:2,'av','ou'
then ,,1,delete_n:0,'then ',''
that ,,1,delete_n:0,'that ',''
,"""H",1,insert_0:n,'',"'""H'"
nc,r,1,merge_n:1,'nc','r'
-----------------------------------------------------,sentence database,1,replace_53:17,'-----------------------------------------------------','sentence database'
w,"""W",1,split_1:n,'w',"'""W'"
,Cl,1,insert_0:n,'','Cl'
el .,,1,delete_n:0,'el .',''
ho,marke,1,replace_2:5,'ho','marke'
e .,,1,delete_n:0,'e .',''
sm,ru,1,replace_2:2,'sm','ru'
me,unt,1,replace_2:3,'me','unt'
w,le,1,split_1:n,'w','le'
l,s ,1,split_1:n,'l','s '
rner,uld,1,replace_4:3,'rner','uld'
in,ul,1,replace_2:2,'in','ul'
m,ner,1,split_1:n,'m','ner'
f,stl,1,split_1:n,'f','stl'
sh,tak,1,replace_2:3,'sh','tak'
 Is,Do,1,replace_3:2,' Is','Do'
,"e""",1,insert_0:n,'',"'e""'"
ck,ad,1,replace_2:2,'ck','ad'
ow,av,1,replace_2:2,'ow','av'
sh,du,1,replace_2:2,'sh','du'
oo,a,1,merge_n:1,'oo','a'
l, sw,1,split_1:n,'l',' sw'
lon,mag,1,replace_3:3,'lon','mag'
me ,"""And",1,replace_3:4,'me ',"'""And'"
,he,1,insert_0:n,'','he'
's,,1,delete_n:0,"""'s""",''
isfi, r,1,replace_4:2,'isfi',' r'
ust,ead,1,replace_3:3,'ust','ead'
wel,rd,1,replace_3:2,'wel','rd'
v,last w,1,split_1:n,'v','last w'
:,You can't forgive him for this,1,split_1:n,':',"""You can't forgive him for this"""
it .,s,1,merge_n:1,'it .','s'
't,,1,delete_n:0,"""'t""",''
 ' ',,1,delete_n:0,""" ' '""",''
vous,,1,delete_n:0,'vous',''
,wspape,1,insert_0:n,'','wspape'
e,di,1,split_1:n,'e','di'
th,Hel,1,replace_2:3,'th','Hel'
u,lea,1,split_1:n,'u','lea'
,lies,1,insert_0:n,'','lies'
n he,,1,delete_n:0,'n he',''
r .,t,1,merge_n:1,'r .','t'
ed,al,1,replace_2:2,'ed','al'
nd ,cipal,1,replace_3:5,'nd ','cipal'
re,n,1,merge_n:1,'re','n'
w,Ev,1,split_1:n,'w','Ev'
s,at,1,split_1:n,'s','at'
u,io,1,split_1:n,'u','io'
nt,lk,1,replace_2:2,'nt','lk'
d ,al,1,replace_2:2,'d ','al'
b,Gl,1,split_1:n,'b','Gl'
st,H,1,merge_n:1,'st','H'
ro,me,1,replace_2:2,'ro','me'
any ,,1,delete_n:0,'any ',''
"! "" sh",c,1,merge_n:1,"'! "" sh'",'c'
, any,1,insert_0:n,'',' any'
t,"""W",1,split_1:n,'t',"'""W'"
nd,at,1,replace_2:2,'nd','at'
 people,,1,delete_n:0,' people',''
w how,ut,1,replace_5:2,'w how','ut'
kn,ab,1,replace_2:2,'kn','ab'
, know,1,insert_0:n,'',' know'
w,ud,1,split_1:n,'w','ud'
l,ghe,1,split_1:n,'l','ghe'
," Commander,""",1,insert_0:n,'',"' Commander,""'"
cl,v,1,merge_n:1,'cl','v'
av,u,1,merge_n:1,'av','u'
"John , ",a,1,merge_n:1,"'John , '",'a'
,- Jalum,1,insert_0:n,'','- Jalum'
,A ,1,insert_0:n,'','A '
r,ne,1,split_1:n,'r','ne'
ton,dem,1,replace_3:3,'ton','dem'
,ju,1,insert_0:n,'','ju'
ba,lu,1,replace_2:2,'ba','lu'
now,mr,1,replace_3:2,'now','mr'
h,"""J",1,split_1:n,'h',"'""J'"
s,"""p",1,split_1:n,'s',"'""p'"
t,ah,1,split_1:n,'t','ah'
no,a,1,merge_n:1,'no','a'
te,f,1,merge_n:1,'te','f'
,n',1,insert_0:n,'',"""n'"""
w,"""a",1,split_1:n,'w',"'""a'"
ss,"m""",1,replace_2:2,'ss',"'m""'"
all,off,1,replace_3:3,'all','off'
pr,m,1,merge_n:1,'pr','m'
,it ,1,insert_0:n,'','it '
. I ,,1,delete_n:0,'. I ',''
Bu,Fri,1,replace_2:3,'Bu','Fri'
ic,y,1,merge_n:1,'ic','y'
never,wall,1,replace_5:4,'never','wall'
sh,bl,1,replace_2:2,'sh','bl'
as,in,1,replace_2:2,'as','in'
""" L",l,1,merge_n:1,"'"" L'",'l'
ur,n,1,merge_n:1,'ur','n'
 's,,1,delete_n:0,""" 's""",''
, get,1,insert_0:n,'',' get'
got ,,1,delete_n:0,'got ',''
sh,M,1,merge_n:1,'sh','M'
out ,and,1,replace_4:3,'out ','and'
,ere,1,insert_0:n,'','ere'
il,nd,1,replace_2:2,'il','nd'
st ,d,1,merge_n:1,'st ','d'
m,ru,1,split_1:n,'m','ru'
r ove,,1,delete_n:0,'r ove',''
w,rt,1,split_1:n,'w','rt'
Da,"""Be",1,replace_2:3,'Da',"'""Be'"
genc, jur,1,replace_4:4,'genc',' jur'
sa,repl,1,replace_2:4,'sa','repl'
r,"n""",1,split_1:n,'r',"'n""'"
ov,wh,1,replace_2:2,'ov','wh'
th,du,1,replace_2:2,'th','du'
, talkative,1,insert_0:n,'',' talkative'
t,lh,1,split_1:n,'t','lh'
t,dy,1,split_1:n,'t','dy'
u,ie,1,split_1:n,'u','ie'
n,"a""",1,split_1:n,'n',"'a""'"
6,bo,1,split_1:n,'6','bo'
ch ,n,1,merge_n:1,'ch ','n'
ong,ay,1,replace_3:2,'ong','ay'
k,hu,1,split_1:n,'k','hu'
He,It,1,replace_2:2,'He','It'
rr,an,1,replace_2:2,'rr','an'
tch,nd,1,replace_3:2,'tch','nd'
h,st,1,split_1:n,'h','st'
,f o,1,insert_0:n,'','f o'
ee .,k,1,merge_n:1,'ee .','k'
t,ric,1,split_1:n,'t','ric'
oll,d,1,merge_n:1,'oll','d'
K,stra,1,split_1:n,'K','stra'
m,rn,1,split_1:n,'m','rn'
 ,nce,1,split_1:n,' ','nce'
sur,,1,delete_n:0,'sur',''
-w,m,1,merge_n:1,'-w','m'
t ,ay,1,replace_2:2,'t ','ay'
,west,1,insert_0:n,'','west'
had,Orrock,1,replace_3:6,'had','Orrock'
A,Itti,1,split_1:n,'A','Itti'
ur,ent,1,replace_2:3,'ur','ent'
nd,gar,1,replace_2:3,'nd','gar'
rr,av,1,replace_2:2,'rr','av'
h,"""l",1,split_1:n,'h',"'""l'"
u,trend,1,split_1:n,'u','trend'
own,accuse,1,replace_3:6,'own','accuse'
u,ee,1,split_1:n,'u','ee'
h ,lt,1,replace_2:2,'h ','lt'
ou,ce,1,replace_2:2,'ou','ce'
 ,'s,1,split_1:n,' ',"""'s"""
al,ngd,1,replace_2:3,'al','ngd'
,we,1,insert_0:n,'','we'
mm,ns,1,replace_2:2,'mm','ns'
gies,y,1,merge_n:1,'gies','y'
lia,es,1,replace_3:2,'lia','es'
en,,1,delete_n:0,'en',''
ma,ud,1,replace_2:2,'ma','ud'
sh,Sn,1,replace_2:2,'sh','Sn'
j,"""d",1,split_1:n,'j',"'""d'"
nd,mail,1,replace_2:4,'nd','mail'
f, F,1,split_1:n,'f',' F'
L,"""th",1,split_1:n,'L',"'""th'"
ed,ion,1,replace_2:3,'ed','ion'
,"led""",1,insert_0:n,'',"'led""'"
h, m,1,split_1:n,'h',' m'
, persons unknown,1,insert_0:n,'',' persons unknown'
nd,us,1,replace_2:2,'nd','us'
as,ould,1,replace_2:4,'as','ould'
,nt Some mischievous including one that,1,insert_0:n,'','nt Some mischievous including one that'
,me well me,1,insert_0:n,'','me well me'
w,memor,1,split_1:n,'w','memor'
, the Thursday evening with blood actually dripping from,1,insert_0:n,'',' the Thursday evening with blood actually dripping from'
, I'm,1,insert_0:n,'',""" I'm"""
d ,s,1,merge_n:1,'d ','s'
" , so-",,1,delete_n:0,"' , so-'",''
of,as,1,replace_2:2,'of','as'
d,other,1,split_1:n,'d','other'
en above,,1,delete_n:0,'en above',''
,ng other,1,insert_0:n,'','ng other'
,unn,1,insert_0:n,'','unn'
s,er,1,split_1:n,'s','er'
rr,tt,1,replace_2:2,'rr','tt'
rr,st,1,replace_2:2,'rr','st'
ll ,w,1,merge_n:1,'ll ','w'
w,an,1,split_1:n,'w','an'
nd,al,1,replace_2:2,'nd','al'
"me well meant , s",S,1,merge_n:1,"'me well meant , s'",'S'
,smal,1,insert_0:n,'','smal'
ved b,x,1,merge_n:1,'ved b','x'
H,sh,1,split_1:n,'H','sh'
d,gl,1,split_1:n,'d','gl'
big ,,1,delete_n:0,'big ',''
Him ,thru,1,replace_4:4,'Him ','thru'
t ,s,1,merge_n:1,'t ','s'
ho,,1,delete_n:0,'ho',''
,ou,1,insert_0:n,'','ou'
ituations,,1,delete_n:0,'ituations',''
,advantage,1,insert_0:n,'','advantage'
or,and,1,replace_2:3,'or','and'
un,avail,1,replace_2:5,'un','avail'
s,un,1,split_1:n,'s','un'
e,qui,1,split_1:n,'e','qui'
m,usu,1,split_1:n,'m','usu'
p,ck,1,split_1:n,'p','ck'
ch ,d,1,merge_n:1,'ch ','d'
k,ld,1,split_1:n,'k','ld'
br,h,1,merge_n:1,'br','h'
u,end,1,split_1:n,'u','end'
ss,m,1,merge_n:1,'ss','m'
a,ur,1,split_1:n,'a','ur'
, by rather,1,insert_0:n,'',' by rather'
ur,icka,1,replace_2:4,'ur','icka'
r,'v,1,split_1:n,'r',"""'v"""
 or,as,1,replace_3:2,' or','as'
obj,dir,1,replace_3:3,'obj','dir'
 1 ,ll,1,replace_3:2,' 1 ','ll'
s Remez ;,rj,1,replace_9:2,'s Remez ;','rj'
,ll,1,insert_0:n,'','ll'
all,of,1,replace_3:2,'all','of'
well ,,1,delete_n:0,'well ',''
f,ut,1,split_1:n,'f','ut'
s,rc,1,split_1:n,'s','rc'
ay,equenc,1,replace_2:6,'ay','equenc'
e a b,,1,delete_n:0,'e a b',''
ork ,ait,1,replace_4:3,'ork ','ait'
,"hat""",1,insert_0:n,'',"'hat""'"
- bu,,1,delete_n:0,'- bu',''
d,"""M",1,split_1:n,'d',"'""M'"
wif,mal,1,replace_3:3,'wif','mal'
s,ali,1,split_1:n,'s','ali'
d,eq,1,split_1:n,'d','eq'
' h,l,1,merge_n:1,"""' h""",'l'
dr,ex,1,replace_2:2,'dr','ex'
ss,rt,1,replace_2:2,'ss','rt'
l,th,1,split_1:n,'l','th'
d,ce,1,split_1:n,'d','ce'
ess,g,1,merge_n:1,'ess','g'
bus,thriv,1,replace_3:5,'bus','thriv'
cessa,mo,1,replace_5:2,'cessa','mo'
o s,,1,delete_n:0,'o s',''
t,jo,1,split_1:n,'t','jo'
w,o ,1,split_1:n,'w','o '
d ,or,1,replace_2:2,'d ','or'
th,day,1,replace_2:3,'th','day'
verse,ning,1,replace_5:4,'verse','ning'
r,omb,1,split_1:n,'r','omb'
ions,y,1,merge_n:1,'ions','y'
,rtai,1,insert_0:n,'','rtai'
m,unc,1,split_1:n,'m','unc'
ss,,1,delete_n:0,'ss',''
,"g""",1,insert_0:n,'',"'g""'"
mo,ha,1,replace_2:2,'mo','ha'
mpt,bab,1,replace_3:3,'mpt','bab'
al, to,1,replace_2:3,'al',' to'
our,Odin,1,replace_3:4,'our','Odin'
Thi,Plu,1,replace_3:3,'Thi','Plu'
iss,umm,1,replace_3:3,'iss','umm'
ts,b,1,merge_n:1,'ts','b'
on,a,1,merge_n:1,'on','a'
",",file,1,split_1:n,"','",'file'
huff,,1,delete_n:0,'huff',''
t,ll,1,split_1:n,'t','ll'
st,n,1,merge_n:1,'st','n'
st,N,1,merge_n:1,'st','N'
le,h,1,merge_n:1,'le','h'
low ,iday,1,replace_4:4,'low ','iday'
hi,lu,1,replace_2:2,'hi','lu'
me,nk,1,replace_2:2,'me','nk'
 that,,1,delete_n:0,' that',''
, incumbency,1,insert_0:n,'',' incumbency'
vis,wa,1,replace_3:2,'vis','wa'
was not n,c,1,merge_n:1,'was not n','c'
,f may Mos,1,insert_0:n,'','f may Mos'
wn,ugh,1,replace_2:3,'wn','ugh'
k ,ch,1,replace_2:2,'k ','ch'
wo,Ma,1,replace_2:2,'wo','Ma'
members ,,1,delete_n:0,'members ',''
be,to,1,replace_2:2,'be','to'
the,up,1,replace_3:2,'the','up'
ha,be locke,1,replace_2:8,'ha','be locke'
St,N,1,merge_n:1,'St','N'
,rol,1,insert_0:n,'','rol'
r,is,1,split_1:n,'r','is'
iv,,1,delete_n:0,'iv',''
,venian,1,insert_0:n,'','venian'
or,a,1,merge_n:1,'or','a'
i,. A,1,split_1:n,'i','. A'
,en,1,insert_0:n,'','en'
 to pay,,1,delete_n:0,' to pay',''
r,ss,1,split_1:n,'r','ss'
,lif,1,insert_0:n,'','lif'
a,eve,1,split_1:n,'a','eve'
i,re,1,split_1:n,'i','re'
if,l,1,merge_n:1,'if','l'
,Li,1,insert_0:n,'','Li'
u,ir,1,split_1:n,'u','ir'
was c,C,1,merge_n:1,'was c','C'
L,Ch,1,split_1:n,'L','Ch'
u,elici,1,split_1:n,'u','elici'
deb,vincial,1,replace_3:7,'deb','vincial'
4mic,of p,1,replace_4:4,'4mic','of p'
,disc,1,insert_0:n,'','disc'
,text ,1,insert_0:n,'','text '
Bo,Se,1,replace_2:2,'Bo','Se'
un ,eers,1,replace_3:4,'un ','eers'
bu,hi,1,replace_2:2,'bu','hi'
n,tur,1,split_1:n,'n','tur'
el,d,1,merge_n:1,'el','d'
on,w,1,merge_n:1,'on','w'
" ,",ly,1,replace_2:2,"' ,'",'ly'
tio,ha,1,replace_3:2,'tio','ha'
nd,lways,1,replace_2:5,'nd','lways'
b,voc,1,split_1:n,'b','voc'
, who,1,insert_0:n,'',' who'
in,um,1,replace_2:2,'in','um'
inner,,1,delete_n:0,'inner',''
,stewe,1,insert_0:n,'','stewe'
wh,s,1,merge_n:1,'wh','s'
on,&,1,merge_n:1,'on','&'
& v,r,1,merge_n:1,'& v','r'
tur,ha,1,replace_3:2,'tur','ha'
#,greatly,1,split_1:n,'#','greatly'
,"intellectual""",1,insert_0:n,'',"'intellectual""'"
,in France as is tea drinking among ourselves and ,1,insert_0:n,'','in France as is tea drinking among ourselves and '
b,od,1,split_1:n,'b','od'
,si,1,insert_0:n,'','si'
" ,",ing,1,replace_2:3,"' ,'",'ing'
wh,t,1,merge_n:1,'wh','t'
r, i,1,split_1:n,'r',' i'
,""" and the 'ci' is actually ""a""? No, no, I'm sure there's a c and an i. Wait wait but let me check again. Oh! Oh wait! No! Wait the word after to is ""a"" no, no, the letters are c i, so yes. So that's the answer. Wait but maybe I'm wrong? Wait no, the image shows ""possibly comparable alone to ci gypsy",1,insert_0:n,'',"'"" and the \'ci\' is actually ""a""? No, no, I\'m sure there\'s a c and an i. Wait wait but let me check again. Oh! Oh wait! No! Wait the word after to is ""a"" no, no, the letters are c i, so yes. So that\'s the answer. Wait but maybe I\'m wrong? Wait no, the image shows ""possibly comparable alone to ci gypsy'"
,"ci gypsy? Wait wait no, wait wait! Wait no, wait is it """,1,insert_0:n,'',"'ci gypsy? Wait wait no, wait wait! Wait no, wait is it ""'"
