idx,split,ground_truth,model_response,verdict,flagged,reason,corrected_text
642,train,but no more than that .,CORRECT,CORRECT,False,,
643,train,And he has abandoned plans to visit President de,CORRECT,CORRECT,False,,
644,train,team to negotiate terms for joining the Common Market .,CORRECT,CORRECT,False,,
645,train,to Britain's moves towards the Six was,CORRECT,CORRECT,False,,
646,train,of negotiations with the Six . At the same,CORRECT,CORRECT,False,,
647,train,the Prime Minister to Paris was dropped,"INCORRECT: Paris→Paris's, dropped→dempped | CORRECTED: the Prime Minister to Paris's was dempped",INCORRECT,True,"Paris→Paris's, dropped→dempped",the Prime Minister to Paris's was dempped
648,train,safeguard their interests,CORRECT,CORRECT,False,,
649,train,"France , to back Mr. Edward Heath , Lord",CORRECT,CORRECT,False,,
650,train,"Privy Seal , who is charged with the conduct",CORRECT,CORRECT,False,,
651,train,"Sir Pierson Dixon , Britain's Ambassador to",CORRECT,CORRECT,False,,
652,train,So the idea of personal mission by,INCORRECT: by→boy | CORRECTED: So the idea of personal mission boy,INCORRECT,True,by→boy,So the idea of personal mission boy
653,train,Commonwealth Governments every facility possible to,"INCORRECT: extra word ""Governments"" removed | CORRECTED: Commonwealth every facility possible to",INCORRECT,True,"extra word ""Governments"" removed",Commonwealth every facility possible to
654,train,Instead Mr. Macmillan will rely on a,CORRECT,CORRECT,False,,
655,train,time the Prime Minister has offered,CORRECT,CORRECT,False,,
656,train,hand-picked team under the leadership of,CORRECT,CORRECT,False,,
657,train,"Commonwealth Relations Secretary , that they wish to be kept",CORRECT,CORRECT,False,,
658,train,countries can arrange for observers to advise the British,CORRECT,CORRECT,False,,
659,train,"in touch in London . Three of them - Canada , Australia ,",CORRECT,CORRECT,False,,
660,train,meeting in London on Monday . Once the Common,CORRECT,CORRECT,False,,
661,train,"Seven Commonwealth countries have told Mr. Sandys ,",CORRECT,CORRECT,False,,
662,train,negotiating team .,INCORRECT: negotiating→ncgotiating | CORRECTED: ncgotiating team.,INCORRECT,True,negotiating→ncgotiating,ncgotiating team.
663,train,New Zealand - will have strong delegations at an opening,CORRECT,CORRECT,False,,
664,train,"for negotiations in a fortnight's time , these Commonwealth",CORRECT,CORRECT,False,,
665,train,Market's Council of Ministers draws up the procedure,CORRECT,CORRECT,False,,
666,train,his days as Britain's chief UN dele-,CORRECT,CORRECT,False,,
667,train,son Dixon has a wide reputation as,"INCORRECT: Dixon→Dixan, has→luas, reputation→reputatian | CORRECTED: son Dixan luas a wide reputatian as",INCORRECT,True,"Dixon→Dixan, has→luas, reputation→reputatian",son Dixan luas a wide reputatian as
668,train,is represented by Sir Roderick Barclay,INCORRECT: represented→presented | CORRECTED: is presented by Sir Roderick Barclay,INCORRECT,True,represented→presented,is presented by Sir Roderick Barclay
669,train,"Food , and Fisheries . The Foreign Office",CORRECT,CORRECT,False,,
670,train,"tary at the Ministry of Agriculture ,",CORRECT,CORRECT,False,,
671,train,gate . Second in command is Mr.,"INCORRECT: gate→Bat, in→M, Mr.→Dean | CORRECTED: Bat. Second M Command is Dean.",INCORRECT,True,"gate→Bat, in→M, Mr.→Dean",Bat. Second M Command is Dean.
672,train,The team is composed of experienced,CORRECT,CORRECT,False,,
673,train,negotiators in several fields . Sir Pier-,CORRECT,CORRECT,False,,
674,train,a skilful backstage negotiator since,CORRECT,CORRECT,False,,
675,train,"Eric Roll , 53-year-old Deputy Secre-","INCORRECT: year→years | CORRECTED: Eric Roll, 53-years-old Deputy Secre-",INCORRECT,True,year→years,"Eric Roll, 53-years-old Deputy Secre-"
676,train,negotiations should be held .,INCORRECT: be→he | CORRECTED: negotiations should he held,INCORRECT,True,be→he,negotiations should he held
677,train,"Market Commission , or wherever the Six decide",CORRECT,CORRECT,False,,
678,train,"the Commonwealth Relations Office , Sir William",CORRECT,CORRECT,False,,
679,train,"he goes to Brussels , headquarters of the Common",CORRECT,CORRECT,False,,
680,train,"( Treasury ) , and Mr. G. H. Andrew ( Board of Trade ) .","INCORRECT: Andrew→Andreen | CORRECTED: ( Treasury ) , and Mr. G. H. Andreen ( Board of Trade ) .",INCORRECT,True,Andrew→Andreen,"( Treasury ) , and Mr. G. H. Andreen ( Board of Trade ) ."
681,train,Other leading members are : Sir Henry Lintott from,"INCORRECT: ""Other"" incorrectly placed at start, missing at end | CORRECTED: leading members are : Sir Henry Lintott from Other",INCORRECT,True,"""Other"" incorrectly placed at start, missing at end",leading members are : Sir Henry Lintott from Other
682,train,"Corell-Barnes ( Colonial Office ) , Mr. G. R. Bell",CORRECT,CORRECT,False,,
683,train,They will accompany Mr. Heath next month when,CORRECT,CORRECT,False,,
684,train,fated to fly into trouble abroad . Last year it was,INCORRECT: abroad→already | CORRECTED: fated to fly into trouble already. Last year it was,INCORRECT,True,abroad→already,fated to fly into trouble already. Last year it was
685,train,Some of the problems were reviewed yesterday at a,CORRECT,CORRECT,False,,
686,train,"the riots in Istanbul , which enlivened the NATO",CORRECT,CORRECT,False,,
687,train,"meeting in Paris between M. Couve de Murville , French",CORRECT,CORRECT,False,,
688,train,a man with troubles enough back home - seems,INCORRECT: seems→with a man | CORRECTED: a man with troubles enough back home - with a man,INCORRECT,True,seems→with a man,a man with troubles enough back home - with a man
689,train,Council meeting .,CORRECT,CORRECT,False,,
690,train,"Foreign Minister , and Mr. Heath . MR. Selwyn Lloyd -",CORRECT,CORRECT,False,,
691,train,Now we have the strikes and demonstrations in,CORRECT,CORRECT,False,,
692,train,Ghana coinciding with the meeting of the Com-,"INCORRECT: leading ""Ghana"" removed, ""Com-""→""Ghana"" | CORRECTED: coinciding with the meeting of the Ghana",INCORRECT,True,"leading ""Ghana"" removed, ""Com-""→""Ghana""",coinciding with the meeting of the Ghana
693,train,monwealth Economic Consultative Council - the,CORRECT,CORRECT,False,,
694,train,ter Mr Lloyd and his 24-strong delegation landed,CORRECT,CORRECT,False,,
695,train,"Stores , the largest in town .",CORRECT,CORRECT,False,,
696,train,first to be held in Africa . Only a few hours af-,"INCORRECT: few→first, hours→thousand | CORRECTED: first to be held in Africa. Only a first thousand af-",INCORRECT,True,"few→first, hours→thousand",first to be held in Africa. Only a first thousand af-
697,train,demonstrated outside the British-owned Kingsway,CORRECT,CORRECT,False,,
698,train,"at Accra this morning , hundreds of shop assistants",CORRECT,CORRECT,False,,
699,train,including a compulsory savings scheme which the,CORRECT,CORRECT,False,,
700,train,Ghana Government introduced in July . Ghana's strong,CORRECT,CORRECT,False,,
701,train,"man is not here to face the storm . President Nkrumah ,","INCORRECT: missing ""man"" after Nkrumah | CORRECTED: man is not here to face the storm. President Nkrumah man",INCORRECT,True,"missing ""man"" after Nkrumah",man is not here to face the storm. President Nkrumah man
702,train,having made his contribution to the neutrals' conference,CORRECT,CORRECT,False,,
703,train,The stores had been hit by the same strike wave,CORRECT,CORRECT,False,,
704,train,"in Belgrade , has resumed his holiday on the Black",CORRECT,CORRECT,False,,
705,train,"week . Root of the discontent : The austerity Budget ,","INCORRECT: ""week . Root"" order reversed, week belongs at sentence end | CORRECTED: Root of the discontent: The austerity Budget week",INCORRECT,True,"""week . Root"" order reversed, week belongs at sentence end",Root of the discontent: The austerity Budget week
706,train,will return .,CORRECT,CORRECT,False,,
707,train,Sea and no one here professes to know when he,"INCORRECT: Sea→Sera, no→my, one→are | CORRECTED: Sera and my are here professes to know when he",INCORRECT,True,"Sea→Sera, no→my, one→are",Sera and my are here professes to know when he
708,train,that has paralysed the port of Takoradi for the past,CORRECT,CORRECT,False,,
709,train,But in his absence his chief lieutenants have,CORRECT,CORRECT,False,,
710,train,been raised against the strikers and is now beginning,CORRECT,CORRECT,False,,
711,train,not let him down . The strong arm of authority has,CORRECT,CORRECT,False,,
712,train,"of the people is the supreme law "" ) reports : "" The",CORRECT,CORRECT,False,,
713,train,Government has been urged to take immediate ac-,CORRECT,CORRECT,False,,
714,train,"to tell . Today's Ghanaian Times ( motto : "" The welfare","INCORRECT: ""to tell→tell, welfare→welfarety"" | CORRECTED: ""tell. Today's Ghanaian Times (motto: ""The welfarety""",INCORRECT,True,"""to tell→tell, welfare→welfarety""","""tell. Today's Ghanaian Times (motto: ""The welfarety"""
715,train,"tion to deal ruthlessly with the strikers . """,CORRECT,CORRECT,False,,
716,train,"Nkrumah's Convention Party "" after powerful addresses",CORRECT,CORRECT,False,,
717,train,becomes an offence punishable with imprisonment,CORRECT,CORRECT,False,,
718,train,essential services and ensure food supplies . Thus it,CORRECT,CORRECT,False,,
719,train,the Government adequate power to maintain all,CORRECT,CORRECT,False,,
720,train,"for anyone who "" publishes a report likely to cause","INCORRECT: publishes→published, cause→concern | CORRECTED: for anyone who published a report likely to concern",INCORRECT,True,"publishes→published, cause→concern",for anyone who published a report likely to concern
721,train,others . Strong deeds followed strong words . In Takoradi,INCORRECT: Takoradi→Tekoredi | CORRECTED: others. Strong deeds followed strong words. In Tekoredi,INCORRECT,True,Takoradi→Tekoredi,others. Strong deeds followed strong words. In Tekoredi
722,train,"by Comrades Krobo Edusei , Tawia Adamafio , "" and","INCORRECT: Comrades→Comreades, Edusei→Eolusei, Tawia→Tevie, Adamafio→Ademfio, and→reads | CORRECTED: by Comreades Krobo Eolusei, Tevie Ademfio, ""reads""",INCORRECT,True,"Comrades→Comreades, Edusei→Eolusei, Tawia→Tevie, Adamafio→Ademfio, and→reads","by Comreades Krobo Eolusei, Tevie Ademfio, ""reads"""
723,train,The urge came from a conference of activists of,"INCORRECT: ""a→e, activists→extivists"" | CORRECTED: ""The urge came from e conference of extivists of""",INCORRECT,True,"""a→e, activists→extivists""","""The urge came from e conference of extivists of"""
724,train,"alarm or prejudicial to public safety . """,CORRECT,CORRECT,False,,
725,train,"a "" limited state of emergency "" was declared , giving",CORRECT,CORRECT,False,,
726,train,Accra ?,INCORRECT: Accra→Aecre | CORRECTED: Aecre?,INCORRECT,True,Accra→Aecre,Aecre?
727,train,"strikers gave in , but in Takoradi , the chief storm centre ,","INCORRECT: gave→give, in→Te, Takoradi→Koradi | CORRECTED: Strikers give in, but Te Koradi, the chief storm centre,",INCORRECT,True,"gave→give, in→Te, Takoradi→Koradi","Strikers give in, but Te Koradi, the chief storm centre,"
728,train,Government react when the strikers demonstrated in,INCORRECT: demonstrated→demonstrates | CORRECTED: Government react when the strikers demonstrates in,INCORRECT,True,demonstrated→demonstrates,Government react when the strikers demonstrates in
729,train,on anyone convicted of sabotage . These stern measures,CORRECT,CORRECT,False,,
730,train,police and 16 armoured cars . And how did the,"INCORRECT: armoured→ermounced, cars→eors | CORRECTED: police and 16 ermounced eors. And how did the",INCORRECT,True,"armoured→ermounced, cars→eors",police and 16 ermounced eors. And how did the
731,train,"they are still holding out despite the presence of 1,400","INCORRECT: they are still → they still | CORRECTED: they still holding out despite the presence of 1,400",INCORRECT,True,they are still → they still,"they still holding out despite the presence of 1,400"
732,train,And up to ten years' imprisonment can be imposed,CORRECT,CORRECT,False,,
733,train,had the desired effect today at Kumasi where the,CORRECT,CORRECT,False,,
734,train,""" If you have not dispersed by ten o'clock , "" he",CORRECT,CORRECT,False,,
735,train,drove up to the Kingsway Stores and faced the,CORRECT,CORRECT,False,,
736,train,a posse of police arrived and in less than,CORRECT,CORRECT,False,,
737,train,two minutes the crowd had gone .,INCORRECT: two→tro | CORRECTED: tro minutes the crowd had gone.,INCORRECT,True,two→tro,tro minutes the crowd had gone.
738,train,"At 9.40 Mr. Edusei , Minister of Transport and pro-",CORRECT,CORRECT,False,,
739,train,"demonstrators , most of them shopgirls in overalls .",CORRECT,CORRECT,False,,
740,train,"told them , ' the police will act . ' At five to ten","INCORRECT: five→fire | CORRECTED: told them, 'the police will act.' At fire to ten",INCORRECT,True,five→fire,"told them, 'the police will act.' At fire to ten"
741,train,"bably the toughest man in Mr. Nkrumah's team ,",CORRECT,CORRECT,False,,
742,train,Commonwealth was an occasion worthy of his presence .,CORRECT,CORRECT,False,,
743,train,After all it was Mr. Nkrumah who suggested that this,INCORRECT: Nkrumah→Nhrumah | CORRECTED: After all it was Mr. Nhrumah who suggested that this,INCORRECT,True,Nkrumah→Nhrumah,After all it was Mr. Nhrumah who suggested that this
744,train,year the Economic Consultative Council should meet,CORRECT,CORRECT,False,,
745,train,thought that the muster from the 13 States of the,INCORRECT: muster→musler | CORRECTED: thought that the musler from the 13 States of the,INCORRECT,True,muster→musler,thought that the musler from the 13 States of the
746,train,the President back from his travels it might have been,CORRECT,CORRECT,False,,
747,train,in Accra .,CORRECT,CORRECT,False,,
748,train,* enough,CORRECT,CORRECT,False,,
749,train,"If the threatened "" counter-revolution "" was not * to bring",CORRECT,CORRECT,False,,
750,train,yesterday . It said pressure was being put on,CORRECT,CORRECT,False,,
751,train,"disarming Committee of 100 , the Committee claimed",CORRECT,CORRECT,False,,
752,train,"Minister , to do the honours as host , in which capacity","INCORRECT: which→wich | CORRECTED: Minister, to do the honours as host, in wich capacity",INCORRECT,True,which→wich,"Minister, to do the honours as host, in wich capacity"
753,train,"It has been left , however , to Mr. Goka , Ghana's Finance","INCORRECT: Mr.→Hs. | CORRECTED: It has been left, however, to Hs. Goka, Ghana's Finance",INCORRECT,True,Mr.→Hs.,"It has been left, however, to Hs. Goka, Ghana's Finance"
754,train,openly intimidating members of Earl Russell's nuclear-,CORRECT,CORRECT,False,,
755,train,members and associates all over the country .,INCORRECT: country→county | CORRECTED: members and associates all over the county,INCORRECT,True,country→county,members and associates all over the county
756,train,he held a reception tonight in Accra's Ambassador,"INCORRECT: ""reception→recephion, missing final 'he'"" | CORRECTED: ""he held a recephion tonight in Accra's Ambassador he""",INCORRECT,True,"""reception→recephion, missing final 'he'""","""he held a recephion tonight in Accra's Ambassador he"""
757,train,"Hotel . POLICE , on direct orders from the Cabinet , are","INCORRECT: Hotel→ttoled | CORRECTED: ttole d. POLICE, on direct orders from the Cabinet, are
Wait wait no, wait, hold on, wait I misread the first word! Oh my god, wait the first word: is it ""Hotel""? Wait wait the first letter: t, no, wait maybe it's ""Hotel"" with the H written as two t's? No no, wait no, wait let's look again. Oh no! Wait the first letters: t h o t e l? No, no, the second letter is h? Oh! Oh",INCORRECT,True,Hotel→ttoled,"ttole d. POLICE, on direct orders from the Cabinet, are
Wait wait no, wait, hold on, wait I misread the first word! Oh my god, wait the first word: is it ""Hotel""? Wait wait the first letter: t, no, wait maybe it's ""Hotel"" with the H written as two t's? No no, wait no, wait let's look again. Oh no! Wait the first letters: t h o t e l? No, no, the second letter is h? Oh! Oh"
758,train,with the committee was going too far ; another,"INCORRECT: too→to | CORRECTED: with the committee was going to far, another",INCORRECT,True,too→to,"with the committee was going to far, another"
759,train,was not .,INCORRECT: was→woo | CORRECTED: woo not,INCORRECT,True,was→woo,woo not
760,train,"to pass the time of day "" ; Supporters had","INCORRECT: ""the→time, had→hands"" | CORRECTED: ""to pass time time of day""; Supporters hands",INCORRECT,True,"""the→time, had→hands""","""to pass time time of day""; Supporters hands"
761,train,"people "" on no pretext whatsoever , except",CORRECT,CORRECT,False,,
762,train,that anti-apartheid agitation was,CORRECT,CORRECT,False,,
763,train,going out of action ; Police were visiting,CORRECT,CORRECT,False,,
764,train,"all right , but support for the committee","INCORRECT: right→night | CORRECTED: all night, but support for the committee",INCORRECT,True,right→night,"all night, but support for the committee"
765,train,It alleged : Phones were being tapped and,INCORRECT: being→beeing | CORRECTED: It alleged : Phones were beeing tapped and,INCORRECT,True,being→beeing,It alleged : Phones were beeing tapped and
766,train,been warned - one that his connection,INCORRECT: warned→named | CORRECTED: been named - one that his connection,INCORRECT,True,warned→named,been named - one that his connection
767,train,committee members will appear at Bow-street,CORRECT,CORRECT,False,,
768,train,Mr. Clark .,INCORRECT: Mr.→U. | CORRECTED: U. Clark.,INCORRECT,True,Mr.→U.,U. Clark.
769,train,"today , including Lord Russell , Lady Russell ,",CORRECT,CORRECT,False,,
770,train,by plain-clothes men . Committee-member Mr. George,CORRECT,CORRECT,False,,
771,train,"Clark commented at a Press conference : "" The",INCORRECT: The→Two | CORRECTED: Clark commented at a Press conference: Two,INCORRECT,True,The→Two,Clark commented at a Press conference: Two
772,train,"most extraordinary things are happening . "" Fifty",CORRECT,CORRECT,False,,
773,train,A third man's house was watched for four days,CORRECT,CORRECT,False,,
774,train,"Lord Boyd-Orr , the Rev. Michael Scott , and","INCORRECT: Boyd-Orr→Boyd-Car | CORRECTED: Lord Boyd-Car, the Rev. Michael Scott, and",INCORRECT,True,Boyd-Orr→Boyd-Car,"Lord Boyd-Car, the Rev. Michael Scott, and"
775,train,"packing a case , at his Chelsea home","INCORRECT: at→of, home→house | CORRECTED: packing a case of his Chelsea house",INCORRECT,True,"at→of, home→house",packing a case of his Chelsea house
776,train,"yesterday . His secretary , American-born",CORRECT,CORRECT,False,,
777,train,"Mr. Ralph Schoenman , said :",CORRECT,CORRECT,False,,
778,train,"putting his affairs in order , and",CORRECT,CORRECT,False,,
779,train,"are "" likely to persevere in such unlawful",CORRECT,CORRECT,False,,
780,train,the peace and for inciting a breach,CORRECT,CORRECT,False,,
781,train,should not be bound over for disturbing,CORRECT,CORRECT,False,,
782,train,They are required to show why they,CORRECT,CORRECT,False,,
783,train,"conduct . "" Lord Russell , 89 , was",CORRECT,CORRECT,False,,
784,train,of the peace . The summonses say they,CORRECT,CORRECT,False,,
785,train,"hopes to be allowed to do some writing . "" Back at",CORRECT,CORRECT,False,,
786,train,"members tried a "" plant "" call on suspect phone . They",CORRECT,CORRECT,False,,
787,train,discussed a sit-down at Watford at 5.30 p.m. - none,"INCORRECT: missing final ""discussed"" | CORRECTED: discussed a sit-down at Watford at 5.30 p.m. - none discussed",INCORRECT,True,"missing final ""discussed""",discussed a sit-down at Watford at 5.30 p.m. - none discussed
788,train,"probably mean jail and , though frail , he is very fit and",CORRECT,CORRECT,False,,
789,train,"the Press conference , Mr. Clark said two committee",CORRECT,CORRECT,False,,
790,train,will take the rigours of prison in his stride . He,CORRECT,CORRECT,False,,
791,train,""" He is not going to agree to be bound over . That will",CORRECT,CORRECT,False,,
792,train,was planned but police turned up .,CORRECT,CORRECT,False,,
793,train,longer accepted the good faith of Mr. Kenneth,CORRECT,CORRECT,False,,
794,train,Sir Roy Welensky said today that he no,CORRECT,CORRECT,False,,
795,train,Federal Parliament in Salisbury .,CORRECT,CORRECT,False,,
796,train,of lawlessness among UNIP supporters went,CORRECT,CORRECT,False,,
797,train,until he was outlawed in 1959 . The record,INCORRECT: 1959→1859 | CORRECTED: until he was outlawed in 1859. The record,INCORRECT,True,1959→1859,until he was outlawed in 1859. The record
798,train,Party was a monster as vicious as the Zambia,CORRECT,CORRECT,False,,
799,train,said that Mr. Kaunda's United National Independence,CORRECT,CORRECT,False,,
800,train,"back a long way , Sir Roy told the",CORRECT,CORRECT,False,,
801,train,"Kaunda . Sir Roy , Federal Rhodesian Prime Minister ,",CORRECT,CORRECT,False,,
802,train,"National Congress , which was led by Mr. Kaunda",CORRECT,CORRECT,False,,
803,train,He cited cases in which hundreds of UNIP supporters,CORRECT,CORRECT,False,,
804,train,the UNIP - were convicted last month in the,CORRECT,CORRECT,False,,
805,train,charges of creating disturbances . During the first,INCORRECT: disturbances → this imbalances | CORRECTED: charges of creating this imbalances . During the first,INCORRECT,True,disturbances → this imbalances,charges of creating this imbalances . During the first
806,train,had been arrested or convicted since last year on,CORRECT,CORRECT,False,,
807,train,than 500 people - 167 of them members of,INCORRECT: than→ham | CORRECTED: ham 500 people - 167 of them members of,INCORRECT,True,than→ham,ham 500 people - 167 of them members of
808,train,three weeks of the present trouble 287 incidents,"INCORRECT: the→me, trouble→humble | CORRECTED: three weeks of me present humble 287 incidents",INCORRECT,True,"the→me, trouble→humble",three weeks of me present humble 287 incidents
809,train,had been reported in Northern Rhodesia . More,INCORRECT: More→March | CORRECTED: had been reported in Northern Rhodesia . March,INCORRECT,True,More→March,had been reported in Northern Rhodesia . March
810,train,Northern Province alone .,CORRECT,CORRECT,False,,
811,train,Kaunda's repeated statements that all he is,CORRECT,CORRECT,False,,
812,train,"Sir Roy . "" I am now compelled to say that",CORRECT,CORRECT,False,,
813,train,"had stimulated violence , but he had done","INCORRECT: ""done→down"" | CORRECTED: ""had stimulated violence, but he had down""",INCORRECT,True,"""done→down""","""had stimulated violence, but he had down"""
814,train,""" Against this background must be taken Mr.","INCORRECT: this→Mui's, must→much, be→he, taken→takes | CORRECTED: Against Mui's background much he takes Mr.",INCORRECT,True,"this→Mui's, must→much, be→he, taken→takes",Against Mui's background much he takes Mr.
815,train,"doing is in the name of non-violence , "" said",CORRECT,CORRECT,False,,
816,train,nothing to stop it .,CORRECT,CORRECT,False,,
817,train,Mr. Kaunda must know that his statements,"INCORRECT: Mr.→Ms, Kaunda→leaunda | CORRECTED: Ms. leaunda must know that his statements",INCORRECT,True,"Mr.→Ms, Kaunda→leaunda",Ms. leaunda must know that his statements
818,train,"I don't accept his good faith . "" He said",CORRECT,CORRECT,False,,
819,train,from Northern Rhodesia when his followers have,"INCORRECT: Northern→Northeran, Rhodesia→Rhodesie | CORRECTED: from Northeran Rhodesie when his followers have",INCORRECT,True,"Northern→Northeran, Rhodesia→Rhodesie",from Northeran Rhodesie when his followers have
820,train,"would make the Mau Mau in Kenya "" seem like a","INCORRECT: ""Mau Mau→Mev Mev, a→e"" | CORRECTED: ""would make the Mev Mev in Kenya seem like e""",INCORRECT,True,"""Mau Mau→Mev Mev, a→e""","""would make the Mev Mev in Kenya seem like e"""
821,train,""" It is true he made a point of again being absent",CORRECT,CORRECT,False,,
822,train,"child's picnic . """,CORRECT,CORRECT,False,,
823,train,"indulged in such violence . "" But Sir Roy pointed out","INCORRECT: violence→viblence | CORRECTED: ""indulged in such viblence . "" But Sir Roy pointed out",INCORRECT,True,violence→viblence,"""indulged in such viblence . "" But Sir Roy pointed out"
824,train,if UNIP did not get its way what would happen,INCORRECT: way→wrey | CORRECTED: if UNIP did not get its wrey what would happen,INCORRECT,True,way→wrey,if UNIP did not get its wrey what would happen
825,train,that a few months ago Mr. Kaunda said that,"INCORRECT: Kaunda→Kounde, missing ""that a"" at end | CORRECTED: that a few months ago Mr. Kounde said that that a",INCORRECT,True,"Kaunda→Kounde, missing ""that a"" at end",that a few months ago Mr. Kounde said that that a
826,train,return from Scotland yesterday . He summoned Mr.,"INCORRECT: Scotland→Scotlound, yesterday→yesteroley | CORRECTED: return from Scotlound yesteroley. He summoned Mr.",INCORRECT,True,"Scotland→Scotlound, yesterday→yesteroley",return from Scotlound yesteroley. He summoned Mr.
827,train,new Constitution provided law and order is maintained,CORRECT,CORRECT,False,,
828,train,JOHN DICKIE writes : Mr. Macmillan gave top,CORRECT,CORRECT,False,,
829,train,in Northern Rhodesia .,CORRECT,CORRECT,False,,
830,train,to hold the door open for modifications to the,CORRECT,CORRECT,False,,
831,train,"Iain Macleod , Colonial Secretary , and Mr. Duncan Sandys ,","INCORRECT: missing final word ""Iain"" | CORRECTED: Iain Macleod, Colonial Secretary, and Mr. Duncan Sandys, Iain",INCORRECT,True,"missing final word ""Iain""","Iain Macleod, Colonial Secretary, and Mr. Duncan Sandys, Iain"
832,train,priority to the clash over Northern Rhodesia on his,CORRECT,CORRECT,False,,
833,train,at Admiralty House . A statement is expected today,CORRECT,CORRECT,False,,
834,train,Commonwealth Relations Secretary for an hour's talks,"INCORRECT: Secretary→Secretery, an→on | CORRECTED: Commonwealth Relations Secretery for on hour's talks",INCORRECT,True,"Secretary→Secretery, an→on",Commonwealth Relations Secretery for on hour's talks
835,train,African nationalists . Mr. Macleod has ample evidence,"INCORRECT: nationalists→methionalist, Macleod→Meeleod | CORRECTED: African methionalist Mr. Meeleod has ample evidence",INCORRECT,True,"nationalists→methionalist, Macleod→Meeleod",African methionalist Mr. Meeleod has ample evidence
836,train,"Liberal leader , and Mr. Kaunda , that the bulk","INCORRECT: ""Liberal→Liberol, Kaunda→Kevunda"" | CORRECTED: ""Liberol leader, and Mr. Kevunda, that the bulk""",INCORRECT,True,"""Liberal→Liberol, Kaunda→Kevunda""","""Liberol leader, and Mr. Kevunda, that the bulk"""
837,train,problem . Mr. Sandys has warned of the risk of a,"INCORRECT: Sandys→Soundys, warned→wormed, a→e | CORRECTED: problem. Mr Soundys has wormed of the risk of e",INCORRECT,True,"Sandys→Soundys, warned→wormed, a→e",problem. Mr Soundys has wormed of the risk of e
838,train,suggestion that there may be fresh concessions to the,CORRECT,CORRECT,False,,
839,train,Constitution unless it is modified .,CORRECT,CORRECT,False,,
840,train,of moderates and Africans will reject the,INCORRECT: Africans→Africous | CORRECTED: of moderates and Africous will reject the,INCORRECT,True,Africans→Africous,of moderates and Africous will reject the
841,train,"from talks with Sir John Moffat , Northern Rhodesian","INCORRECT: Rhodesian→Rhodesians | CORRECTED: from talks with Sir John Moffat, Northern Rhodesians",INCORRECT,True,Rhodesian→Rhodesians,"from talks with Sir John Moffat, Northern Rhodesians"
842,train,strong reaction from Sir Roy Welensky to any,CORRECT,CORRECT,False,,
843,train,Its terms have set the Prime Minister an exacting,CORRECT,CORRECT,False,,
844,train,foot of his airliner's steps at London Airport,INCORRECT: of his→at this | CORRECTED: foot at this airliner's steps at London Airport,INCORRECT,True,of his→at this,foot at this airliner's steps at London Airport
845,train,of Gloucester .,CORRECT,CORRECT,False,,
846,train,"kneeling with heads bowed . The princess ,",CORRECT,CORRECT,False,,
847,train,Buganda ( King Freddie ) from Princess,"INCORRECT: Buganda→Brigandela, Freddie→Fredelie, Princess→Bringessa | CORRECTED: Brigandela (King Fredelie) from Bringessa",INCORRECT,True,"Buganda→Brigandela, Freddie→Fredelie, Princess→Bringessa",Brigandela (King Fredelie) from Bringessa
848,train,"aged 24 , is now studying history at Cambri-",CORRECT,CORRECT,False,,
849,train,A ROYAL welcome for the Kabaka of,INCORRECT: Kabaka→Kabraha | CORRECTED: A Royal welcome for the Kabraha of,INCORRECT,True,Kabaka→Kabraha,A Royal welcome for the Kabraha of
850,train,"yesterday . Forty other Africans greeted him ,",CORRECT,CORRECT,False,,
851,train,"dge , where she is a friend of Prince William",CORRECT,CORRECT,False,,
852,train,"Elizabeth Bagaya of Toro , kneeling at the",CORRECT,CORRECT,False,,
853,train,"Colonial Secretary Mr. Iain Macleod , before the","INCORRECT: Iain→Lain | CORRECTED: Colonial Secretary Mr. Lain Macleod, before the",INCORRECT,True,Iain→Lain,"Colonial Secretary Mr. Lain Macleod, before the"
854,train,to settle the relationships between them and the,CORRECT,CORRECT,False,,
855,train,King Freddie and three other hereditary rulers of,INCORRECT: Freddie→Trededie | CORRECTED: King Trededie and three other hereditary rulers of,INCORRECT,True,Freddie→Trededie,King Trededie and three other hereditary rulers of
856,train,The question : Their status in an independent Uganda .,CORRECT,CORRECT,False,,
857,train,rest of the country . A Government report has,INCORRECT: has→does | CORRECTED: rest of the country . A Government report does,INCORRECT,True,has→does,rest of the country . A Government report does
858,train,recognised their rights and recommended a form of,CORRECT,CORRECT,False,,
859,train,native kingdoms in Uganda arrived for talks with,CORRECT,CORRECT,False,,
860,train,The thorniest problem for next week's conference is,CORRECT,CORRECT,False,,
861,train,Uganda Constitutional conference opens next Monday .,CORRECT,CORRECT,False,,
862,train,"federal association , but the four kings are not","INCORRECT: kings→things | CORRECTED: federal association , but the four things are not",INCORRECT,True,kings→things,"federal association , but the four things are not"
863,train,Government authority yet presented by the,INCORRECT: the→they | CORRECTED: Government authority yet presented by they,INCORRECT,True,the→they,Government authority yet presented by they
864,train,to deal with the mass sit-down rally planned,INCORRECT: mass→masses | CORRECTED: to deal with the masses sit-down rally planned,INCORRECT,True,mass→masses,to deal with the masses sit-down rally planned
865,train,"Committee of 100 , the anti-nuclear arms",CORRECT,CORRECT,False,,
866,train,to meet head-on the biggest challenge to,INCORRECT: challenge→challenges | CORRECTED: to meet head-on the biggest challenges to,INCORRECT,True,challenge→challenges,to meet head-on the biggest challenges to
