wrong_char,correct_char,count,wrong_repr,correct_repr,note
I,s,1,'I','s',upper mistaken as lower
U,"""",1,'U',"'""'",upper mistaken as punct
t,S,1,'t','S',lower mistaken as upper
I,a,1,'I','a',upper mistaken as lower
a,9,1,'a','9',lower mistaken as digit
n,4,1,'n','4',lower mistaken as digit
6,"""",1,'6',"'""'",digit mistaken as punct
N,I,1,'N','I',upper–upper swap
v,d,1,'v','d',lower–lower swap
P,R,1,'P','R',upper–upper swap
#,M,1,'#','M',punct mistaken as upper
D,O,1,'D','O',upper–upper swap
t,L,1,'t','L',lower mistaken as upper
a,G,1,'a','G',lower mistaken as upper
K,N,1,'K','N',upper–upper swap
K,t,1,'K','t',upper mistaken as lower
"""", ,1,"'""'",' ',punct mistaken as space
3,1,1,'3','1',digit–digit swap
9,2,1,'9','2',digit–digit swap
8,9,1,'8','9',digit–digit swap
f,y,1,'f','y',lower–lower swap
s,D,1,'s','D',lower mistaken as upper
r,L,1,'r','L',lower mistaken as upper
B,s,1,'B','s',upper mistaken as lower
',O,1,"""'""",'O',punct mistaken as upper
j,p,1,'j','p',lower–lower swap
h,C,1,'h','C',lower mistaken as upper
.,A,1,'.','A',punct mistaken as upper
 ,w,1,' ','w',space mistaken as lower
o,x,1,'o','x',lower–lower swap
G,T,1,'G','T',upper–upper swap
j,g,1,'j','g',lower–lower swap
L,t,1,'L','t',upper mistaken as lower
i,B,1,'i','B',lower mistaken as upper
6, ,1,'6',' ',digit mistaken as space
*,e,1,'*','e',punct mistaken as lower
?,.,1,'?','.',punct–punct swap
L,A,1,'L','A',upper–upper swap
b,A,1,'b','A',lower mistaken as upper
2, ,1,'2',' ',digit mistaken as space
',F,1,"""'""",'F',punct mistaken as upper
-,r,1,'-','r',punct mistaken as lower
M,e,1,'M','e',upper mistaken as lower
A,c,1,'A','c',upper mistaken as lower
*, ,1,'*',' ',punct mistaken as space
?,i,1,'?','i',punct mistaken as lower
8,R,1,'8','R',digit mistaken as upper
b,j,1,'b','j',lower–lower swap
E,f,1,'E','f',upper mistaken as lower
m,q,1,'m','q',lower–lower swap
1,"""",1,'1',"'""'",digit mistaken as punct
;,n,1,';','n',punct mistaken as lower
J,f,1,'J','f',upper mistaken as lower
b,W,1,'b','W',lower mistaken as upper
1,s,1,'1','s',digit mistaken as lower
b,q,1,'b','q',lower–lower swap
W,H,1,'W','H',upper–upper swap
#,A,1,'#','A',punct mistaken as upper
r,T,1,'r','T',lower mistaken as upper
l,o,1,'l','o',lower–lower swap
f,v,1,'f','v',lower–lower swap
 ,c,1,' ','c',space mistaken as lower
(,f,1,'(','f',punct mistaken as lower
M,N,1,'M','N',upper–upper swap
.,y,1,'.','y',punct mistaken as lower
I,F,1,'I','F',upper–upper swap
A,W,1,'A','W',upper–upper swap
O,t,1,'O','t',upper mistaken as lower
h,I,1,'h','I',lower mistaken as upper
W,t,1,'W','t',upper mistaken as lower
J,T,1,'J','T',upper–upper swap
"""",W,1,"'""'",'W',punct mistaken as upper
j,s,1,'j','s',lower–lower swap
',a,1,"""'""",'a',punct mistaken as lower
i,ï,1,'i','ï',lower–lower swap
"""",h,1,"'""'",'h',punct mistaken as lower
',i,1,"""'""",'i',punct mistaken as lower
D,H,1,'D','H',upper–upper swap
2,I,1,'2','I',digit mistaken as upper
2,d,1,'2','d',digit mistaken as lower
2,Z,1,'2','Z',digit mistaken as upper
2,E,1,'2','E',digit mistaken as upper
u,x,1,'u','x',lower–lower swap
n,"""",1,'n',"'""'",lower mistaken as punct
I,y,1,'I','y',upper mistaken as lower
 ,!,1,' ','!',space mistaken as punct
"""",!,1,"'""'",'!',punct–punct swap
w,d,1,'w','d',lower–lower swap
v,a,1,'v','a',lower–lower swap
 ,E,1,' ','E',space mistaken as upper
B,b,1,'B','b',upper mistaken as lower
V,N,1,'V','N',upper–upper swap
c,b,1,'c','b',lower–lower swap
C,S,1,'C','S',upper–upper swap
w,x,1,'w','x',lower–lower swap
 ,x,1,' ','x',space mistaken as lower
1,.,1,'1','.',digit mistaken as punct
1,M,1,'1','M',digit mistaken as upper
-,.,1,'-','.',punct–punct swap
1,R,1,'1','R',digit mistaken as upper
2,c,1,'2','c',digit mistaken as lower
n,x,1,'n','x',lower–lower swap
p,"""",1,'p',"'""'",lower mistaken as punct
a,w,1,'a','w',lower–lower swap
1,d,1,'1','d',digit mistaken as lower
1,L,1,'1','L',digit mistaken as upper
 ,Q,1,' ','Q',space mistaken as upper
U,C,1,'U','C',upper–upper swap
 ,j,1,' ','j',space mistaken as lower
j,r,1,'j','r',lower–lower swap
r,',1,'r',"""'""",lower mistaken as punct
p,c,1,'p','c',lower–lower swap
H,s,1,'H','s',upper mistaken as lower
v,x,1,'v','x',lower–lower swap
t,j,1,'t','j',lower–lower swap
c,m,1,'c','m',lower–lower swap
r,x,1,'r','x',lower–lower swap
',l,1,"""'""",'l',punct mistaken as lower
y,q,1,'y','q',lower–lower swap
e,q,1,'e','q',lower–lower swap
J,L,1,'J','L',upper–upper swap
G,Q,1,'G','Q',upper–upper swap
K,s,1,'K','s',upper mistaken as lower
H,N,1,'H','N',upper–upper swap
m,S,1,'m','S',lower mistaken as upper
j,"""",1,'j',"'""'",lower mistaken as punct
p,q,1,'p','q',lower–lower swap
g,D,1,'g','D',lower mistaken as upper
L,J,1,'L','J',upper–upper swap
h,j,1,'h','j',lower–lower swap
l,O,1,'l','O',lower mistaken as upper
g,S,1,'g','S',lower mistaken as upper
r, ,1,'r',' ',lower mistaken as space
",",n,1,"','",'n',punct mistaken as lower
#,g,1,'#','g',punct mistaken as lower
&,r,1,'&','r',punct mistaken as lower
o,&,1,'o','&',lower mistaken as punct
f,P,1,'f','P',lower mistaken as upper
T,S,1,'T','S',upper–upper swap
s,x,1,'s','x',lower–lower swap
x,n,1,'x','n',lower–lower swap
2,3,1,'2','3',digit–digit swap
K,w,1,'K','w',upper mistaken as lower
s,T,1,'s','T',lower mistaken as upper
h,p,1,'h','p',lower–lower swap
w,M,1,'w','M',lower mistaken as upper
k,E,1,'k','E',lower mistaken as upper
L,S,1,'L','S',upper–upper swap
S,N,1,'S','N',upper–upper swap
s,N,1,'s','N',lower mistaken as upper
",",f,1,"','",'f',punct mistaken as lower
o,O,1,'o','O',lower mistaken as upper
u,d,1,'u','d',lower–lower swap
p,a,1,'p','a',lower–lower swap
n,M,1,'n','M',lower mistaken as upper
d,w,1,'d','w',lower–lower swap
",",y,1,"','",'y',punct mistaken as lower
B,S,1,'B','S',upper–upper swap
4,o,1,'4','o',digit mistaken as lower
m,f,1,'m','f',lower–lower swap
c,p,1,'c','p',lower–lower swap
d,v,1,'d','v',lower–lower swap
b,v,1,'b','v',lower–lower swap
M,m,1,'M','m',upper mistaken as lower
k,r,1,'k','r',lower–lower swap
M,Y,1,'M','Y',upper–upper swap
u,g,1,'u','g',lower–lower swap
h,O,1,'h','O',lower mistaken as upper
w,I,1,'w','I',lower mistaken as upper
a,',1,'a',"""'""",lower mistaken as punct
D,s,1,'D','s',upper mistaken as lower
c,"""",1,'c',"'""'",lower mistaken as punct
k,s,1,'k','s',lower–lower swap
c, ,1,'c',' ',lower mistaken as space
4,c,1,'4','c',digit mistaken as lower
H,F,1,'H','F',upper–upper swap
d,b,1,'d','b',lower–lower swap
r,N,1,'r','N',lower mistaken as upper
c,y,1,'c','y',lower–lower swap
q,S,1,'q','S',lower mistaken as upper
V,W,1,'V','W',upper–upper swap
d,p,1,'d','p',lower–lower swap
h,R,1,'h','R',lower mistaken as upper
I,f,1,'I','f',upper mistaken as lower
h,J,1,'h','J',lower mistaken as upper
h,f,1,'h','f',lower–lower swap
b, ,1,'b',' ',lower mistaken as space
u,S,1,'u','S',lower mistaken as upper
.,f,1,'.','f',punct mistaken as lower
"""",o,1,"'""'",'o',punct mistaken as lower
 ,m,1,' ','m',space mistaken as lower
p,O,1,'p','O',lower mistaken as upper
"""",n,1,"'""'",'n',punct mistaken as lower
I,b,1,'I','b',upper mistaken as lower
d,D,1,'d','D',lower mistaken as upper
w,z,1,'w','z',lower–lower swap
"""",A,1,"'""'",'A',punct mistaken as upper
"""",3,1,"'""'",'3',punct mistaken as digit
"""",',1,"'""'","""'""",punct–punct swap
B,F,1,'B','F',upper–upper swap
p,m,1,'p','m',lower–lower swap
*,X,1,'*','X',punct mistaken as upper
J,a,1,'J','a',upper mistaken as lower
c,n,1,'c','n',lower–lower swap
s,B,1,'s','B',lower mistaken as upper
J,D,1,'J','D',upper–upper swap
f,"""",1,'f',"'""'",lower mistaken as punct
v,h,1,'v','h',lower–lower swap
g, ,1,'g',' ',lower mistaken as space
e,j,1,'e','j',lower–lower swap
D,"""",1,'D',"'""'",upper mistaken as punct
a,B,1,'a','B',lower mistaken as upper
K,k,1,'K','k',upper mistaken as lower
H,I,1,'H','I',upper–upper swap
i,n,1,'i','n',lower–lower swap
"""",l,1,"'""'",'l',punct mistaken as lower
e,A,1,'e','A',lower mistaken as upper
.,u,1,'.','u',punct mistaken as lower
 ,D,1,' ','D',space mistaken as upper
I,o,1,'I','o',upper mistaken as lower
G,S,1,'G','S',upper–upper swap
-,c,1,'-','c',punct mistaken as lower
-,d,1,'-','d',punct mistaken as lower
-,b,1,'-','b',punct mistaken as lower
k,K,1,'k','K',lower mistaken as upper
i,H,1,'i','H',lower mistaken as upper
N,H,1,'N','H',upper–upper swap
U,l,1,'U','l',upper mistaken as lower
"""",i,1,"'""'",'i',punct mistaken as lower
L,T,1,'L','T',upper–upper swap
!,c,1,'!','c',punct mistaken as lower
v,y,1,'v','y',lower–lower swap
w,E,1,'w','E',lower mistaken as upper
 ,p,1,' ','p',space mistaken as lower
S,t,1,'S','t',upper mistaken as lower
:,Y,1,':','Y',punct mistaken as upper
